sim,year,species_code,ess,value,in_out
1,2014,10110,ess_f,367.3531475480526,in
1,2016,10110,ess_f,640.6648439684451,in
1,2018,10110,ess_f,559.5316874485433,in
1,2014,10130,ess_f,335.44818763808337,in
1,2016,10130,ess_f,279.85554415673903,in
1,2018,10130,ess_f,390.7149348061263,in
1,2014,21720,ess_f,418.2326100006169,in
1,2016,21720,ess_f,845.0814263776364,in
1,2018,21720,ess_f,928.6797455567618,in
1,2014,21740,ess_f,140.08232705484951,in
1,2016,21740,ess_f,207.47419047915812,in
1,2018,21740,ess_f,248.00208849980828,in
1,2014,21921,ess_f,100.92648564660962,in
1,2016,21921,ess_f,258.2233764264135,in
1,2018,21921,ess_f,528.4182491000405,in
1,2014,30020,ess_f,241.22644591819054,in
1,2016,30020,ess_f,95.93633357797647,in
1,2018,30020,ess_f,43.130731168675766,in
1,2014,30060,ess_f,177.1815469617284,in
1,2016,30060,ess_f,926.3128484801645,in
1,2018,30060,ess_f,633.5139881811622,in
1,2014,30420,ess_f,380.7013967614029,in
1,2016,30420,ess_f,151.29988069487626,in
1,2018,30420,ess_f,167.79586094734043,in
1,2014,10110,ess_m,900.9883879737698,in
1,2016,10110,ess_m,178.1856286619841,in
1,2018,10110,ess_m,481.6144398301888,in
1,2014,10130,ess_m,203.94876700417421,in
1,2016,10130,ess_m,450.571835157212,in
1,2018,10130,ess_m,487.50751478349804,in
1,2014,21720,ess_m,381.2342884217253,in
1,2016,21720,ess_m,1009.7277683316196,in
1,2018,21720,ess_m,974.4662262421191,in
1,2014,21740,ess_m,121.43316564851723,in
1,2016,21740,ess_m,69.32446073399566,in
1,2018,21740,ess_m,137.72674623709156,in
1,2014,21921,ess_m,83.76121526792319,in
1,2016,21921,ess_m,142.11650994392627,in
1,2018,21921,ess_m,468.8441108761687,in
1,2014,30020,ess_m,221.2764339055672,in
1,2016,30020,ess_m,36.50773284483271,in
1,2018,30020,ess_m,16.542143282041,in
1,2014,30060,ess_m,412.82406796404905,in
1,2016,30060,ess_m,1646.495638559798,in
1,2018,30060,ess_m,289.7685930901431,in
1,2014,30420,ess_m,673.6190375110457,in
1,2016,30420,ess_m,154.8880033037275,in
1,2018,30420,ess_m,208.2557350651398,in
1,2014,10110,ess_t,1196.8984349013572,in
