sim,year,species_code,ess,value,in_out
1,2014,10110,ess_f,811.3904210373373,in
1,2016,10110,ess_f,728.7196534271966,in
1,2018,10110,ess_f,970.8921733252306,in
1,2014,10130,ess_f,465.7271685249399,in
1,2016,10130,ess_f,517.9598814061255,in
1,2018,10130,ess_f,201.31702726701891,in
1,2014,21720,ess_f,548.1977067692375,in
1,2016,21720,ess_f,587.6150467847218,in
1,2018,21720,ess_f,1017.3903907248722,in
1,2014,21740,ess_f,21.415352741180243,in
1,2016,21740,ess_f,491.4563663745155,in
1,2018,21740,ess_f,461.61221672427644,in
1,2014,21921,ess_f,98.23905204632044,in
1,2016,21921,ess_f,467.77940308872655,in
1,2018,21921,ess_f,129.89266539409712,in
1,2014,30020,ess_f,349.3421738194001,in
1,2016,30020,ess_f,20.123277670815796,in
1,2018,30020,ess_f,62.711807420484995,in
1,2014,30060,ess_f,188.49599545844077,in
1,2016,30060,ess_f,2354.9892439719033,in
1,2018,30060,ess_f,3767.5789604032857,in
1,2014,30420,ess_f,1039.4944843182675,in
1,2016,30420,ess_f,283.20268471548474,in
1,2018,30420,ess_f,474.247915065651,in
1,2014,10110,ess_m,603.7205368342969,in
1,2016,10110,ess_m,209.46278450873783,in
1,2018,10110,ess_m,564.8142078110125,in
1,2014,10130,ess_m,193.7077341795985,in
1,2016,10130,ess_m,562.8128235222014,in
1,2018,10130,ess_m,204.72393774155339,in
1,2014,21720,ess_m,638.8434977857705,in
1,2016,21720,ess_m,752.2385707254027,in
1,2018,21720,ess_m,1266.180989583687,in
1,2014,21740,ess_m,34.83604133342109,in
1,2016,21740,ess_m,298.87319245834243,in
1,2018,21740,ess_m,328.198738576968,in
1,2014,21921,ess_m,132.50563172631476,in
1,2016,21921,ess_m,545.2102602538787,in
1,2018,21921,ess_m,157.49247360989645,in
1,2014,30020,ess_m,302.5913990562554,in
1,2016,30020,ess_m,19.467144151014566,in
1,2018,30020,ess_m,89.93749759769754,in
1,2014,30060,ess_m,536.4879498209575,in
1,2016,30060,ess_m,562.4194015906437,in
1,2018,30060,ess_m,1156.0626218155503,in
1,2014,30420,ess_m,368.1644685048823,in
1,2016,30420,ess_m,203.9492155007043,in
1,2018,30420,ess_m,136.56119867316124,in
1,2014,10110,ess_t,1315.2571039440868,in
1,2016,10110,ess_t,462.6405975377708,in
1,2018,10110,ess_t,1303.3986070217818,in
1,2014,10130,ess_t,400.86558022839876,in
1,2016,10130,ess_t,788.9196825100478,in
1,2018,10130,ess_t,257.3367589198622,in
1,2014,21720,ess_t,849.1547540495459,in
1,2016,21720,ess_t,952.4318581490515,in
1,2018,21720,ess_t,1752.4880664667376,in
1,2014,21740,ess_t,27.847221658295467,in
1,2016,21740,ess_t,618.147727471916,in
1,2018,21740,ess_t,658.4398485531551,in
1,2014,21921,ess_t,146.42260197174704,in
1,2016,21921,ess_t,907.5804265265278,in
1,2018,21921,ess_t,165.4848757270666,in
1,2014,30020,ess_t,507.5420131879327,in
1,2016,30020,ess_t,321.4310301041647,in
1,2018,30020,ess_t,574.8944292835052,in
1,2014,30060,ess_t,493.7149221141086,in
1,2016,30060,ess_t,1357.6789999322423,in
1,2018,30060,ess_t,2836.1316688082347,in
1,2014,30420,ess_t,1148.1363523625243,in
1,2016,30420,ess_t,270.1310368739684,in
1,2018,30420,ess_t,352.37338076217725,in
2,2014,10110,ess_f,588.2434312159119,in
2,2016,10110,ess_f,754.1165258839901,in
2,2018,10110,ess_f,763.3558879976686,in
2,2014,10130,ess_f,294.6587544939994,in
2,2016,10130,ess_f,726.988599739481,in
2,2018,10130,ess_f,662.7538076053455,in
2,2014,21720,ess_f,526.5606388148116,in
2,2016,21720,ess_f,868.6053598313836,in
2,2018,21720,ess_f,709.259402779521,in
2,2014,21740,ess_f,478.41640147462226,in
2,2016,21740,ess_f,153.4089770966892,in
2,2018,21740,ess_f,302.4907888158659,in
2,2014,21921,ess_f,215.78617717358668,in
2,2016,21921,ess_f,30.92165863638678,in
2,2018,21921,ess_f,265.6183842925801,in
2,2014,30020,ess_f,165.1805886881609,in
2,2016,30020,ess_f,17.457034446966556,in
2,2018,30020,ess_f,23.983547140993416,in
2,2014,30060,ess_f,441.75045903773946,in
2,2016,30060,ess_f,2529.9831285164278,in
2,2018,30060,ess_f,647.0214558027134,in
2,2014,30420,ess_f,337.5113729766654,in
2,2016,30420,ess_f,285.65071357791476,in
2,2018,30420,ess_f,292.23064420013253,in
2,2014,10110,ess_m,242.4441851318687,in
2,2016,10110,ess_m,362.3022196150408,in
2,2018,10110,ess_m,230.9507484699909,in
2,2014,10130,ess_m,230.1530259194038,in
2,2016,10130,ess_m,711.6440973936993,in
2,2018,10130,ess_m,570.7566324287769,in
2,2014,21720,ess_m,770.4538545145333,in
2,2016,21720,ess_m,1210.5730834178614,in
2,2018,21720,ess_m,487.0236075085924,in
2,2014,21740,ess_m,245.6624850712243,in
2,2016,21740,ess_m,40.78716851982151,in
2,2018,21740,ess_m,662.9806647537192,in
2,2014,21921,ess_m,201.07390724155704,in
2,2016,21921,ess_m,33.759490652039936,in
2,2018,21921,ess_m,119.58618409646783,in
2,2014,30020,ess_m,205.33205489549283,in
2,2016,30020,ess_m,31.97568007565213,in
2,2018,30020,ess_m,22.361436916672652,in
2,2014,30060,ess_m,643.3015759637652,in
2,2016,30060,ess_m,1609.7931652406737,in
2,2018,30060,ess_m,833.7646286248361,in
2,2014,30420,ess_m,267.1456325347645,in
2,2016,30420,ess_m,104.0044984213575,in
2,2018,30420,ess_m,215.10166718760064,in
