sim,year,species_code,ess,value
1,2014,10110,ess_f,85.24255380773273
1,2014,21720,ess_f,69.04951218027145
1,2014,21740,ess_f,349.2215795307354
1,2014,21921,ess_f,173.62137734400906
1,2014,30060,ess_f,63.79966073141892
1,2014,30420,ess_f,106.64930855070457
1,2016,10110,ess_f,135.41690952924358
1,2016,21720,ess_f,180.82861288703006
1,2016,21740,ess_f,11.960535574765485
1,2016,21921,ess_f,150.33361863447345
1,2016,30060,ess_f,233.76069974048303
1,2016,30420,ess_f,174.96461181084567
1,2018,10110,ess_f,86.90798282454512
1,2018,21720,ess_f,369.833049841066
1,2018,21740,ess_f,199.02073273499775
1,2018,21921,ess_f,95.84955993287103
1,2018,30060,ess_f,210.7527398517919
1,2018,30420,ess_f,152.4099323148718
1,2014,10110,ess_m,91.32755042747291
1,2014,21720,ess_m,174.52461650680658
1,2014,21740,ess_m,26.43712175732611
1,2014,21921,ess_m,68.7621701527875
1,2014,30060,ess_m,81.25346377355164
1,2014,30420,ess_m,80.4404928315333
1,2016,10110,ess_m,114.53566352950544
1,2016,21720,ess_m,231.73728471272702
1,2016,21740,ess_m,6.9160585540981
1,2016,21921,ess_m,118.34049005313166
1,2016,30060,ess_m,243.21089042833003
1,2016,30420,ess_m,68.52926662413907
1,2018,10110,ess_m,84.9894691812004
1,2018,21720,ess_m,172.76920541435445
1,2018,21740,ess_m,43.99479289691305
1,2018,21921,ess_m,151.59623549786497
1,2018,30060,ess_m,181.82057071484851
1,2018,30420,ess_m,109.57069043009781
1,2014,10110,ess_t,151.33304367714368
1,2014,21720,ess_t,157.72432260279308
1,2014,21740,ess_t,84.07556170040161
1,2014,21921,ess_t,235.87729649538966
1,2014,30060,ess_t,95.28113718715909
1,2014,30420,ess_t,159.96805718907896
1,2016,10110,ess_t,363.3530662625853
1,2016,21720,ess_t,299.54099485272013
1,2016,21740,ess_t,85.57696464587006
1,2016,21921,ess_t,163.2865811372449
1,2016,30060,ess_t,464.29686066407066
1,2016,30420,ess_t,202.8311714057915
1,2018,10110,ess_t,154.95719758088705
1,2018,21720,ess_t,373.5777603802295
1,2018,21740,ess_t,178.05081252392264
1,2018,21921,ess_t,232.50866468150866
1,2018,30060,ess_t,326.22391089778864
1,2018,30420,ess_t,223.77272439917897
2,2014,10110,ess_f,99.33886314179436
2,2014,21720,ess_f,361.4023132895531
