sim,year,species_code,ess,value,in_out
1,2014,10110,ess_f,959.7627938019791,in
1,2016,10110,ess_f,447.71497097357536,in
1,2018,10110,ess_f,1076.1394066705675,in
1,2014,10130,ess_f,336.06394141880946,in
1,2016,10130,ess_f,300.94928528565,in
1,2018,10130,ess_f,226.5184737491505,in
1,2014,21720,ess_f,585.0918476217671,in
1,2016,21720,ess_f,296.6980112581646,in
1,2018,21720,ess_f,1311.0635911371073,in
1,2014,21740,ess_f,136.14779974499862,in
1,2016,21740,ess_f,30.10263462048863,in
1,2018,21740,ess_f,333.3658825140136,in
1,2014,21921,ess_f,133.91154833856962,in
1,2016,21921,ess_f,200.874059017044,in
1,2018,21921,ess_f,334.4381726693571,in
1,2014,30020,ess_f,325.0643456668526,in
1,2016,30020,ess_f,49.1604088141627,in
1,2018,30020,ess_f,26.92411889423518,in
1,2014,30060,ess_f,312.9719486285759,in
1,2016,30060,ess_f,736.1220634143027,in
1,2018,30060,ess_f,365.9930014243101,in
1,2014,30420,ess_f,156.300584265079,in
1,2016,30420,ess_f,368.54640829116204,in
1,2018,30420,ess_f,161.440210661931,in
1,2014,10110,ess_m,597.9594746131949,in
1,2016,10110,ess_m,90.40165469561589,in
1,2018,10110,ess_m,716.8753644349619,in
1,2014,10130,ess_m,251.13009758428032,in
1,2016,10130,ess_m,516.0635866236194,in
1,2018,10130,ess_m,258.3474710213668,in
1,2014,21720,ess_m,773.6082830168107,in
1,2016,21720,ess_m,621.4540699035388,in
1,2018,21720,ess_m,678.0495631504988,in
1,2014,21740,ess_m,162.84916688980962,in
1,2016,21740,ess_m,30.243472667685168,in
1,2018,21740,ess_m,212.79370205197944,in
1,2014,21921,ess_m,147.16006419715438,in
1,2016,21921,ess_m,376.4185056992337,in
1,2018,21921,ess_m,248.60432067427274,in
1,2014,30020,ess_m,278.884122142038,in
1,2016,30020,ess_m,48.637628607553005,in
1,2018,30020,ess_m,14.777502275730226,in
1,2014,30060,ess_m,158.60359050166008,in
1,2016,30060,ess_m,799.4907617789211,in
1,2018,30060,ess_m,489.28969614093586,in
1,2014,30420,ess_m,233.80440270894485,in
1,2016,30420,ess_m,94.970697719677,in
1,2018,30420,ess_m,201.24610965527992,in
1,2014,10110,ess_t,864.9089492970681,in
1,2016,10110,ess_t,967.4026362438651,in
1,2018,10110,ess_t,1294.2529270858095,in
1,2014,10130,ess_t,464.8685546821888,in
1,2016,10130,ess_t,838.9954788611329,in
1,2018,10130,ess_t,854.4269374355665,in
1,2014,21720,ess_t,2119.7645049242547,in
1,2016,21720,ess_t,670.6464271070141,in
1,2018,21720,ess_t,2543.921323196537,in
1,2014,21740,ess_t,841.2624508123098,in
1,2016,21740,ess_t,69.8656281280549,in
1,2018,21740,ess_t,417.47394640361347,in
1,2014,21921,ess_t,229.4724656305348,in
1,2016,21921,ess_t,161.6852949151754,in
1,2018,21921,ess_t,766.1226925951632,in
1,2014,30020,ess_t,301.4467217710581,in
1,2016,30020,ess_t,124.33168108048487,in
1,2018,30020,ess_t,236.7311154366009,in
1,2014,30060,ess_t,1011.2135753463662,in
1,2016,30060,ess_t,3340.111423729456,in
1,2018,30060,ess_t,868.5569983132939,in
1,2014,30420,ess_t,526.9856209589026,in
1,2016,30420,ess_t,229.71010679721746,in
1,2018,30420,ess_t,525.0058118479858,in
2,2014,10110,ess_f,383.5809228861776,in
2,2016,10110,ess_f,1038.6894953182996,in
2,2018,10110,ess_f,527.9020650797978,in
2,2014,10130,ess_f,168.96468218042085,in
2,2016,10130,ess_f,535.6284440968303,in
2,2018,10130,ess_f,435.97358830770867,in
2,2014,21720,ess_f,689.8807728257052,in
2,2016,21720,ess_f,1163.898335496645,in
2,2018,21720,ess_f,1032.6727999765603,in
2,2014,21740,ess_f,98.84420614156176,in
2,2016,21740,ess_f,33.216327018739804,in
2,2018,21740,ess_f,379.82899047546437,in
2,2014,21921,ess_f,144.66471742176347,in
2,2016,21921,ess_f,24.509582666261394,in
2,2018,21921,ess_f,166.21630882234012,in
2,2014,30020,ess_f,255.96325701241477,in
2,2016,30020,ess_f,83.99008093840173,in
2,2018,30020,ess_f,40.619624624892616,in
2,2014,30060,ess_f,580.5191664529251,in
2,2016,30060,ess_f,623.183576502333,in
2,2018,30060,ess_f,199.24994237332396,in
2,2014,30420,ess_f,511.3219080568568,in
2,2016,30420,ess_f,583.7320342211322,in
2,2018,30420,ess_f,680.0034064836584,in
2,2014,10110,ess_m,628.1567895110123,in
2,2016,10110,ess_m,408.8533569507576,in
2,2018,10110,ess_m,342.9415680270903,in
2,2014,10130,ess_m,213.39256288020576,in
2,2016,10130,ess_m,568.2786629157641,in
2,2018,10130,ess_m,185.36366510154681,in
2,2014,21720,ess_m,850.0034369359713,in
2,2016,21720,ess_m,815.7765776967614,in
2,2018,21720,ess_m,1096.912374131857,in
2,2014,21740,ess_m,131.86726908037642,in
2,2016,21740,ess_m,16.664782574580205,in
2,2018,21740,ess_m,169.11792536779487,in
2,2014,21921,ess_m,46.016855123559104,in
2,2016,21921,ess_m,21.70429334557576,in
2,2018,21921,ess_m,49.391209074900466,in
