sim,year,species_code,ess,value
1,2014,10110,ess_f,41.6148723041848
1,2014,21720,ess_f,120.69577044763284
1,2014,21740,ess_f,25.055436503501912
1,2014,21921,ess_f,41.4638201993573
1,2014,30060,ess_f,145.29029101719053
1,2014,30420,ess_f,52.17206186487738
1,2016,10110,ess_f,155.3616566881342
1,2016,21720,ess_f,116.86175396833808
1,2016,21740,ess_f,74.67770523931391
1,2016,21921,ess_f,45.18538366338341
1,2016,30060,ess_f,112.22607258747334
1,2016,30420,ess_f,111.09637546723762
1,2018,10110,ess_f,105.4802178827226
1,2018,21720,ess_f,150.3423290361306
1,2018,21740,ess_f,285.0869473549973
1,2018,21921,ess_f,199.68752829341392
1,2018,30060,ess_f,156.42271206453876
1,2018,30420,ess_f,169.99776542497676
1,2014,10110,ess_m,137.38183691753972
1,2014,21720,ess_m,133.93957509289726
1,2014,21740,ess_m,25.958288730950873
1,2014,21921,ess_m,53.792004091358386
1,2014,30060,ess_m,128.24040927911733
1,2014,30420,ess_m,81.99055818631486
1,2016,10110,ess_m,61.30730547764546
1,2016,21720,ess_m,104.14898856009461
1,2016,21740,ess_m,23.087329978353957
1,2016,21921,ess_m,18.316158173920194
1,2016,30060,ess_m,444.83123683245947
1,2016,30420,ess_m,105.97172576713642
1,2018,10110,ess_m,190.1734707629103
1,2018,21720,ess_m,346.2314354592149
1,2018,21740,ess_m,70.07454860691549
1,2018,21921,ess_m,189.5325457005204
1,2018,30060,ess_m,201.71222642988673
1,2018,30420,ess_m,91.04306110427532
1,2014,10110,ess_t,85.0349429012581
1,2014,21720,ess_t,162.70421745639743
1,2014,21740,ess_t,26.854880660521964
1,2014,21921,ess_t,57.35491991588062
1,2014,30060,ess_t,317.7702973963944
1,2014,30420,ess_t,89.75062866125182
1,2016,10110,ess_t,177.1173395728007
1,2016,21720,ess_t,283.411968900114
1,2016,21740,ess_t,51.33944422055218
1,2016,21921,ess_t,56.889282506000995
1,2016,30060,ess_t,430.7252075343535
1,2016,30420,ess_t,174.61859915144805
1,2018,10110,ess_t,223.77695323078873
1,2018,21720,ess_t,276.77566443054366
1,2018,21740,ess_t,148.4493469691333
1,2018,21921,ess_t,279.343368476676
1,2018,30060,ess_t,525.2440461086723
1,2018,30420,ess_t,243.61187183452952
2,2014,10110,ess_f,167.11342806673977
2,2014,21720,ess_f,300.8436774776535
2,2014,21740,ess_f,26.804706775501067
2,2014,21921,ess_f,117.21637038376916
2,2014,30060,ess_f,275.59370138770026
2,2014,30420,ess_f,86.6513740113216
2,2016,10110,ess_f,201.29042976637135
2,2016,21720,ess_f,56.221343968236596
2,2016,21740,ess_f,105.84422418979938
2,2016,21921,ess_f,23.58901068255502
2,2016,30060,ess_f,316.0718763235969
2,2016,30420,ess_f,246.42913615598874
2,2018,10110,ess_f,232.09956010738927
2,2018,21720,ess_f,176.0124618985097
2,2018,21740,ess_f,431.0617983495898
2,2018,21921,ess_f,114.64200706335451
2,2018,30060,ess_f,162.31368006660028
2,2018,30420,ess_f,198.9054144256705
2,2014,10110,ess_m,29.960899418879297
2,2014,21720,ess_m,218.72442109188538
2,2014,21740,ess_m,63.846597398174715
2,2014,21921,ess_m,67.92884288655927
2,2014,30060,ess_m,174.2844338981226
2,2014,30420,ess_m,154.80729674703974
2,2016,10110,ess_m,116.99482535094549
2,2016,21720,ess_m,142.12058441588775
2,2016,21740,ess_m,21.79849626854104
2,2016,21921,ess_m,46.00351733268467
2,2016,30060,ess_m,439.45648810754034
2,2016,30420,ess_m,89.39202271449167
2,2018,10110,ess_m,149.35182544637289
2,2018,21720,ess_m,95.6652519842989
2,2018,21740,ess_m,84.74320017343534
2,2018,21921,ess_m,55.6906135384104
2,2018,30060,ess_m,206.16710640812485
2,2018,30420,ess_m,138.13749576974143
2,2014,10110,ess_t,325.1062437955645
2,2014,21720,ess_t,453.0817717705786
2,2014,21740,ess_t,41.542459362533904
2,2014,21921,ess_t,110.98138749422586
2,2014,30060,ess_t,374.12674366443787
2,2014,30420,ess_t,218.02129793397464
2,2016,10110,ess_t,218.62133022311178
2,2016,21720,ess_t,102.13722829886727
2,2016,21740,ess_t,48.09744596742574
2,2016,21921,ess_t,35.888608349863276
2,2016,30060,ess_t,504.72100777686876
2,2016,30420,ess_t,261.75167151652556
2,2018,10110,ess_t,365.0591149244698
2,2018,21720,ess_t,131.30268215588342
2,2018,21740,ess_t,218.87368298720276
2,2018,21921,ess_t,132.1792326761571
2,2018,30060,ess_t,524.5684457005987
2,2018,30420,ess_t,314.95246991444156
3,2014,10110,ess_f,70.44509629757958
3,2014,21720,ess_f,100.83308616164499
3,2014,21740,ess_f,18.892104663118815
3,2014,21921,ess_f,164.6619493692829
3,2014,30060,ess_f,211.51642068924957
3,2014,30420,ess_f,95.11070382613475
3,2016,10110,ess_f,421.29372911116087
3,2016,21720,ess_f,450.49403287495056
3,2016,21740,ess_f,17.09704862523281
3,2016,21921,ess_f,71.35818815861627
3,2016,30060,ess_f,175.646695917582
3,2016,30420,ess_f,135.6618720278479
3,2018,10110,ess_f,91.97031236989983
3,2018,21720,ess_f,354.27716076230666
