sim,year,species_code,ess,value
1,2014,10110,ess_f,93.84609803252307
1,2014,21720,ess_f,114.22698445596697
1,2014,21740,ess_f,3.500864710868338
1,2014,21921,ess_f,33.898842441999676
1,2014,30060,ess_f,174.47447806078273
1,2014,30420,ess_f,121.53286501691787
1,2016,10110,ess_f,147.21691479229847
1,2016,21720,ess_f,61.114949121243754
1,2016,21740,ess_f,14.414005476132466
1,2016,21921,ess_f,91.81129894840093
1,2016,30060,ess_f,433.4991410128698
1,2016,30420,ess_f,234.96384481887347
1,2018,10110,ess_f,98.82555342157995
1,2018,21720,ess_f,145.72313309406604
1,2018,21740,ess_f,68.47876269208497
1,2018,21921,ess_f,46.414576170365834
1,2018,30060,ess_f,139.13972738612443
1,2018,30420,ess_f,156.27698987362152
1,2014,10110,ess_m,30.253582649236858
1,2014,21720,ess_m,94.7886889846374
1,2014,21740,ess_m,3.725907501020039
1,2014,21921,ess_m,22.853853247014843
1,2014,30060,ess_m,186.7052996823827
1,2014,30420,ess_m,179.0546457323356
1,2016,10110,ess_m,82.82629216885336
1,2016,21720,ess_m,97.49578927288697
1,2016,21740,ess_m,6.95181757588749
1,2016,21921,ess_m,40.43155201794619
1,2016,30060,ess_m,189.04899224754973
1,2016,30420,ess_m,122.84651315009435
1,2018,10110,ess_m,44.843730082364225
1,2018,21720,ess_m,64.16088433918205
1,2018,21740,ess_m,58.95548902132881
1,2018,21921,ess_m,41.44456057416705
1,2018,30060,ess_m,198.78475389674668
1,2018,30420,ess_m,98.03881692502499
1,2014,10110,ess_t,88.39370615143461
1,2014,21720,ess_t,127.98105654514228
1,2014,21740,ess_t,3.6977784549971546
1,2014,21921,ess_t,55.71707148955355
1,2014,30060,ess_t,306.4171309527599
1,2014,30420,ess_t,202.4888405661417
1,2016,10110,ess_t,204.91500276480554
1,2016,21720,ess_t,115.93269519650832
1,2016,21740,ess_t,9.688518934944065
1,2016,21921,ess_t,91.62739938522357
1,2016,30060,ess_t,546.981536844472
1,2016,30420,ess_t,398.741251946794
1,2018,10110,ess_t,111.07713819255494
1,2018,21720,ess_t,129.6604694966487
1,2018,21740,ess_t,462.5564212384394
1,2018,21921,ess_t,86.07856095751836
1,2018,30060,ess_t,434.5663079726393
1,2018,30420,ess_t,264.40497253863145
2,2014,10110,ess_f,50.623172452267596
2,2014,21720,ess_f,54.34921117184579
2,2014,21740,ess_f,7.15266359542339
2,2014,21921,ess_f,120.0929271182151
2,2014,30060,ess_f,94.70012748724473
2,2014,30420,ess_f,107.35736315432128
2,2016,10110,ess_f,128.88584218258444
2,2016,21720,ess_f,377.15455346872307
2,2016,21740,ess_f,15.371097486933275
2,2016,21921,ess_f,12.755645690320572
2,2016,30060,ess_f,246.9105375004721
2,2016,30420,ess_f,175.62122482355934
2,2018,10110,ess_f,149.74392854743544
2,2018,21720,ess_f,219.32829754212642
2,2018,21740,ess_f,120.21505163320583
2,2018,21921,ess_f,46.04153418731128
2,2018,30060,ess_f,215.29398834878631
2,2018,30420,ess_f,136.72017331328672
2,2014,10110,ess_m,107.37850895099679
2,2014,21720,ess_m,49.43870971614779
2,2014,21740,ess_m,8.685039557638445
2,2014,21921,ess_m,51.168896646829445
2,2014,30060,ess_m,320.4480389822277
2,2014,30420,ess_m,95.83000257826575
2,2016,10110,ess_m,110.59995992551876
2,2016,21720,ess_m,298.1176294034747
2,2016,21740,ess_m,5.859764812883969
2,2016,21921,ess_m,75.97236525510465
2,2016,30060,ess_m,497.91967436094353
2,2016,30420,ess_m,52.747981503660036
2,2018,10110,ess_m,276.3913174380373
2,2018,21720,ess_m,183.17123092312875
2,2018,21740,ess_m,48.34778259363202
2,2018,21921,ess_m,49.23415446061619
2,2018,30060,ess_m,344.2511735140451
2,2018,30420,ess_m,73.3764789289608
2,2014,10110,ess_t,121.96412527290899
2,2014,21720,ess_t,95.74181530529256
2,2014,21740,ess_t,8.001247367835695
2,2014,21921,ess_t,103.24229066906388
2,2014,30060,ess_t,540.35024010528
2,2014,30420,ess_t,239.63850408264878
2,2016,10110,ess_t,300.2449573070909
2,2016,21720,ess_t,495.8331917549962
2,2016,21740,ess_t,81.76932688507819
2,2016,21921,ess_t,46.39527939736166
2,2016,30060,ess_t,585.8539326236712
2,2016,30420,ess_t,171.5432140202119
2,2018,10110,ess_t,212.63904365542595
2,2018,21720,ess_t,257.0816913077813
2,2018,21740,ess_t,157.29437076101573
2,2018,21921,ess_t,53.37127256821648
2,2018,30060,ess_t,580.8196511029225
2,2018,30420,ess_t,205.78790442024524
3,2014,10110,ess_f,85.16667396712948
3,2014,21720,ess_f,63.83934726590056
3,2014,21740,ess_f,3.0343450571405572
3,2014,21921,ess_f,69.995341996759
3,2014,30060,ess_f,365.4146492015569
3,2014,30420,ess_f,124.2340101056402
3,2016,10110,ess_f,117.36323397258052
3,2016,21720,ess_f,549.3890693232003
3,2016,21740,ess_f,59.79940929565795
3,2016,21921,ess_f,30.405777305581037
3,2016,30060,ess_f,152.18372675376122
3,2016,30420,ess_f,106.03291369444197
3,2018,10110,ess_f,276.07360347762574
3,2018,21720,ess_f,1142.0905570836383
3,2018,21740,ess_f,77.20967369303472
3,2018,21921,ess_f,164.6649631129159
3,2018,30060,ess_f,198.10246703989853
3,2018,30420,ess_f,120.6475159997792
3,2014,10110,ess_m,71.15454049693405
3,2014,21720,ess_m,77.58160066609243
3,2014,21740,ess_m,3.1724564596623765
3,2014,21921,ess_m,128.8573400545823
3,2014,30060,ess_m,290.0382114930825
3,2014,30420,ess_m,161.39330535778015
3,2016,10110,ess_m,36.655858829509235
3,2016,21720,ess_m,692.249245503856
3,2016,21740,ess_m,9.96563061092351
3,2016,21921,ess_m,55.138484294168414
3,2016,30060,ess_m,439.35591530753635
3,2016,30420,ess_m,75.2383329406852
3,2018,10110,ess_m,48.18352015561485
3,2018,21720,ess_m,401.23732815376326
3,2018,21740,ess_m,37.61255857804259
3,2018,21921,ess_m,146.3037946553173
3,2018,30060,ess_m,296.3432031557826
3,2018,30420,ess_m,65.12529869116155
3,2014,10110,ess_t,160.47035565985456
3,2014,21720,ess_t,77.0812254774706
3,2014,21740,ess_t,3.126976469274152
3,2014,21921,ess_t,204.7039848848235
3,2014,30060,ess_t,516.6934566351948
3,2014,30420,ess_t,251.49964223614725
3,2016,10110,ess_t,82.65883748508088
3,2016,21720,ess_t,1328.7137030352405
3,2016,21740,ess_t,22.082796325826667
3,2016,21921,ess_t,50.45173951339477
3,2016,30060,ess_t,687.6026630381383
3,2016,30420,ess_t,152.67028925451658
3,2018,10110,ess_t,193.308010547379
3,2018,21720,ess_t,729.4220390398875
3,2018,21740,ess_t,291.3432864882853
3,2018,21921,ess_t,358.19234917347734
3,2018,30060,ess_t,677.0907273720093
3,2018,30420,ess_t,164.24891250879705
4,2014,10110,ess_f,57.970933612592376
4,2014,21720,ess_f,76.22411759688528
4,2014,21740,ess_f,3.6828037371342064
4,2014,21921,ess_f,52.441228159890414
4,2014,30060,ess_f,125.16305627742793
4,2014,30420,ess_f,76.62775492151663
4,2016,10110,ess_f,102.64028755925281
4,2016,21720,ess_f,147.4477521089354
4,2016,21740,ess_f,51.7013821527975
4,2016,21921,ess_f,22.860429384855284
4,2016,30060,ess_f,309.64549116885365
4,2016,30420,ess_f,364.53891122144387
4,2018,10110,ess_f,291.96634714594103
4,2018,21720,ess_f,437.6909663807499
