sim,year,species_code,ess,value
1,2014,10110,ess_f,160.98880799284197
1,2014,21720,ess_f,73.20328301574531
1,2014,21740,ess_f,229.35429221276652
1,2014,21921,ess_f,136.34666200341337
1,2014,30060,ess_f,322.5586242488488
1,2014,30420,ess_f,169.90473744349774
1,2016,10110,ess_f,386.806100616269
1,2016,21720,ess_f,44.07237722455654
1,2016,21740,ess_f,77.58292541066564
1,2016,21921,ess_f,55.31179513878191
1,2016,30060,ess_f,371.4651991197465
1,2016,30420,ess_f,220.93424766859778
1,2018,10110,ess_f,195.795450331591
1,2018,21720,ess_f,158.9420111588374
1,2018,21740,ess_f,896.265778318007
1,2018,21921,ess_f,419.7179110904243
1,2018,30060,ess_f,154.0429725369046
1,2018,30420,ess_f,207.0403095821552
1,2014,10110,ess_m,34.84927665671229
1,2014,21720,ess_m,209.4707530334273
1,2014,21740,ess_m,90.41589921750364
1,2014,21921,ess_m,76.51773317224176
1,2014,30060,ess_m,354.643859791533
1,2014,30420,ess_m,112.59160908961263
1,2016,10110,ess_m,55.4634311758531
1,2016,21720,ess_m,66.09478897196712
1,2016,21740,ess_m,32.059987706833
1,2016,21921,ess_m,118.0824766317637
1,2016,30060,ess_m,237.58810990547454
1,2016,30420,ess_m,100.3836729642345
1,2018,10110,ess_m,173.92272275322023
1,2018,21720,ess_m,153.93442052705888
1,2018,21740,ess_m,50.73489969753952
1,2018,21921,ess_m,305.3717266145263
1,2018,30060,ess_m,368.93611724664095
1,2018,30420,ess_m,76.51057506081565
1,2014,10110,ess_t,107.40373599212563
1,2014,21720,ess_t,178.50662142992044
1,2014,21740,ess_t,187.4657647189962
1,2014,21921,ess_t,289.20382762042055
1,2014,30060,ess_t,524.4351043239864
1,2014,30420,ess_t,241.12118840542638
1,2016,10110,ess_t,170.13926326155632
1,2016,21720,ess_t,65.27048493893885
1,2016,21740,ess_t,60.094769960625335
1,2016,21921,ess_t,96.14368474283948
1,2016,30060,ess_t,710.395996519651
1,2016,30420,ess_t,309.66646187917144
1,2018,10110,ess_t,455.97930981151586
1,2018,21720,ess_t,276.2790482270692
1,2018,21740,ess_t,140.8488477781496
1,2018,21921,ess_t,608.3798277115682
1,2018,30060,ess_t,436.05813864103726
1,2018,30420,ess_t,247.7927459394761
2,2014,10110,ess_f,73.34914148652571
2,2014,21720,ess_f,47.943943470780525
2,2014,21740,ess_f,5.79885834503857
2,2014,21921,ess_f,21.022215076956954
2,2014,30060,ess_f,229.68801500571956
2,2014,30420,ess_f,128.51752090420604
2,2016,10110,ess_f,249.03428053640354
2,2016,21720,ess_f,632.6019691999554
2,2016,21740,ess_f,63.99022825277159
2,2016,21921,ess_f,21.21832227444026
2,2016,30060,ess_f,240.44982777745034
2,2016,30420,ess_f,261.16973039941126
2,2018,10110,ess_f,80.63363751103878
2,2018,21720,ess_f,178.08943071235237
2,2018,21740,ess_f,320.9592550988235
2,2018,21921,ess_f,166.89458130020105
2,2018,30060,ess_f,116.59759107183707
2,2018,30420,ess_f,175.25523012850624
2,2014,10110,ess_m,32.787249868225906
2,2014,21720,ess_m,62.214055962665384
2,2014,21740,ess_m,5.270156764193289
2,2014,21921,ess_m,42.84210322292091
2,2014,30060,ess_m,104.68042491727358
2,2014,30420,ess_m,115.03175818377713
2,2016,10110,ess_m,49.457426962405556
2,2016,21720,ess_m,199.25729706347897
2,2016,21740,ess_m,57.816894174338636
2,2016,21921,ess_m,115.4684994889165
2,2016,30060,ess_m,255.89940130202694
2,2016,30420,ess_m,104.4131959893941
2,2018,10110,ess_m,313.93250483172096
2,2018,21720,ess_m,124.66665761591389
2,2018,21740,ess_m,54.423802849031674
2,2018,21921,ess_m,139.334651344746
2,2018,30060,ess_m,230.28641847793233
2,2018,30420,ess_m,68.88129742098243
2,2014,10110,ess_t,104.68940544067598
2,2014,21720,ess_t,64.84355307087002
2,2014,21740,ess_t,5.566687960434501
2,2014,21921,ess_t,37.84324205801861
2,2014,30060,ess_t,195.10384220131672
2,2014,30420,ess_t,233.9564614556552
2,2016,10110,ess_t,172.52603212773403
2,2016,21720,ess_t,390.03202413270407
2,2016,21740,ess_t,246.59067954978298
2,2016,21921,ess_t,86.39083012503853
2,2016,30060,ess_t,266.4063027746483
2,2016,30420,ess_t,333.02530591292197
2,2018,10110,ess_t,167.09396822948844
2,2018,21720,ess_t,173.0594251375567
2,2018,21740,ess_t,123.93314847721301
2,2018,21921,ess_t,314.32412437553126
2,2018,30060,ess_t,379.1807359520372
2,2018,30420,ess_t,251.09196096786062
3,2014,10110,ess_f,34.16764312693912
3,2014,21720,ess_f,119.5618838055815
3,2014,21740,ess_f,62.41881594880472
3,2014,21921,ess_f,72.90596032291596
3,2014,30060,ess_f,164.6333116130158
3,2014,30420,ess_f,99.99583645082102
3,2016,10110,ess_f,485.44014032903385
3,2016,21720,ess_f,47.79004617919254
3,2016,21740,ess_f,14.349491046590924
3,2016,21921,ess_f,5.359215448177823
3,2016,30060,ess_f,254.21213246526307
3,2016,30420,ess_f,156.7791386994139
3,2018,10110,ess_f,141.63755659806023
3,2018,21720,ess_f,220.20600861549113
3,2018,21740,ess_f,265.9347139993345
