year,species_code,comp_type,region,iss_age,base_iss_length,sub_iss_length,sub_samp
2017,10110,female,cgoa,198.0220826443484,2613.355658985052,1555.5607404508278,t50
2017,10110,female,egoa,51.96246078691672,599.0592544608803,359.39022090883697,t50
2017,10110,female,wgoa,67.96080103288013,602.4211071075474,433.7575595902368,t50
2017,10110,male,cgoa,88.68553109598642,1342.596049306983,753.8404497121808,t50
2017,10110,male,egoa,39.22090657376332,342.05246920465765,226.04897139634787,t50
2017,10110,male,wgoa,34.22552646706796,435.2273710795495,282.25184617293235,t50
2017,10110,total,cgoa,273.76057088010197,3437.037956876397,2134.782594349356,t50
2017,10110,total,egoa,80.67635580272864,701.3701159289975,483.4056609569205,t50
2017,10110,total,wgoa,96.34977020732926,947.4009056083842,668.7504731325038,t50
2017,10130,female,cgoa,56.83100883516406,809.9605126710069,539.1511416779886,t50
2017,10130,female,egoa,14.081979038172063,140.8777480594352,98.03891682895178,t50
2017,10130,female,wgoa,29.48280918795189,460.0525610089158,265.66281163295287,t50
2017,10130,male,cgoa,57.96837732148821,835.6844701180079,556.9235820989942,t50
2017,10130,male,egoa,6.128743615281152,162.55854378711848,114.35529210204152,t50
2017,10130,male,wgoa,25.315521926659247,360.5949408477186,216.0623491891444,t50
2017,10130,total,cgoa,114.11428340886783,1516.6996929451518,1036.11763470147,t50
2017,10130,total,egoa,19.720121282579047,277.359451488323,198.06329105773972,t50
2017,10130,total,wgoa,50.89798660562412,655.9645703557841,411.04225364680354,t50
2017,10200,female,cgoa,85.11228251988155,554.2802784859878,464.27337293952274,t50
2017,10200,female,egoa,30.965166715542605,315.9870429396951,245.81636000453156,t50
2017,10200,female,wgoa,31.475417188850972,358.44021753251195,311.37252707855566,t50
2017,10200,male,cgoa,53.62593969422856,293.20286927569214,237.88750163332037,t50
2017,10200,male,egoa,40.19711351290922,259.133199102436,200.4874924696677,t50
2017,10200,male,wgoa,16.873627627560445,141.86617782058218,117.6707198456556,t50
2017,10200,total,cgoa,115.56230698880016,638.8274492805593,538.8823637624233,t50
2017,10200,total,egoa,66.69187974601353,511.1411494348738,407.2081232766943,t50
2017,10200,total,wgoa,47.06943104901043,366.5391611114342,318.60126693173237,t50
2017,10261,female,cgoa,95.36935372710016,265.2477814851954,196.4007859615262,t50
2017,10261,female,wgoa,35.56091384368234,513.7181013052214,374.5723053702287,t50
2017,10261,male,cgoa,63.678913300340184,202.5218924596449,141.6290667083471,t50
2017,10261,male,wgoa,17.668607868773478,358.94528893874747,255.01849512636255,t50
2017,10261,total,cgoa,140.8551632889034,400.5623560471207,301.94235117410994,t50
2017,10261,total,wgoa,50.516670956673366,720.2806935977989,546.6928484108051,t50
2017,21720,female,cgoa,29.34378001621033,249.8528076210468,229.83542759285208,t50
2017,21720,female,egoa,3.454198205223982,30.767524887176737,30.767524887176737,t50
2017,21720,female,wgoa,31.339021291934596,215.4935038597895,208.28520514956367,t50
2017,21720,male,cgoa,25.102900226139457,180.96188751295932,167.7511286059176,t50
2017,21720,male,egoa,2.8988856504479688,34.9524634884198,34.9524634884198,t50
2017,21720,male,wgoa,28.60647539844251,199.77701852366823,193.1857271959481,t50
2017,21720,total,cgoa,41.89690643822632,355.5811158722077,333.4270543490985,t50
2017,21720,total,egoa,4.71114223473974,67.02399544680462,67.02399544680462,t50
2017,21720,total,wgoa,50.7588122954697,349.79176078303055,340.7090350525461,t50
2017,21740,female,cgoa,41.469977530858046,159.73926423460424,142.92692140224648,t50
2017,21740,female,egoa,20.15504146048707,44.423918055839394,36.51540518813775,t50
2017,21740,female,wgoa,47.22558479807452,139.919316115345,71.94783953643459,t50
2017,21740,male,cgoa,26.235850709027368,103.74897506287942,96.73341084789134,t50
2017,21740,male,egoa,21.363464347461644,36.832753208691294,30.85118878809231,t50
2017,21740,male,wgoa,36.68429397826566,89.34960478172549,50.48475113140093,t50
2017,21740,total,cgoa,46.53650358647819,239.87384252826828,222.2374000313048,t50
2017,21740,total,egoa,43.95917512482711,51.55009380208434,46.71189012606872,t50
2017,21740,total,wgoa,71.96927689624036,172.2168165997731,103.04945244824088,t50
2017,30060,female,cgoa,96.86015439226011,182.5738099267747,127.02793138028665,t50
2017,30060,female,egoa,43.01614848149012,212.65886903116268,149.5963424885209,t50
2017,30060,female,wgoa,17.639563340529566,57.165419781529174,40.34445869784225,t50
2017,30060,male,cgoa,83.5112786015706,225.23480286209613,151.17275969245134,t50
2017,30060,male,egoa,45.182761468565715,242.998256006834,161.08677197357446,t50
2017,30060,male,wgoa,19.372044440329383,49.10111877466268,35.60149915471344,t50
2017,30060,total,cgoa,160.6387074431918,303.67695775820874,226.98003475617787,t50
2017,30060,total,egoa,83.66482552961463,335.12476846252775,251.90561921442296,t50
2017,30060,total,wgoa,30.12316446335444,65.07316922801778,52.39659504293499,t50
2017,30420,female,cgoa,61.485516821047014,58.828162470898015,40.4634031869187,t50
2017,30420,female,wgoa,32.01777999532637,52.97341322789395,41.55502806170997,t50
2017,30420,male,cgoa,47.149968266323015,88.08343013054348,52.44830188714775,t50
2017,30420,male,wgoa,35.11291635865631,102.41385751501488,68.26500389255895,t50
2017,30420,total,cgoa,97.79653064068468,113.5543478999914,78.9225208558327,t50
2017,30420,total,wgoa,63.377932358186094,118.55778814380884,91.88443688795076,t50
2019,10110,female,cgoa,184.54773998169895,2443.7751210589045,1564.8302419509537,t50
2019,10110,female,egoa,50.61289341942455,554.1494516373511,394.4592993080139,t50
2019,10110,female,wgoa,84.39715526531965,1427.6620301455084,824.1865634298675,t50
