year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region
2017,10110,female,354.85075181279353,2809.7610146850693,1274.204403014566,s50,goa
2017,10110,male,144.97929940558834,1458.3499257729272,924.4829795044046,s50,goa
2017,10110,total,477.2520665081933,3845.0010558262065,3845.001006349367,s50,goa
2017,10130,female,79.47645828611985,1241.9027826964334,826.4777509382102,s50,goa
2017,10130,male,88.46968474291337,1045.142414732935,797.5463297529827,s50,goa
2017,10130,total,161.71421547246717,1836.749784236825,1836.7498243175355,s50,goa
2017,10180,female,74.34568667187803,390.4063117634839,343.55522869476266,s50,goa
2017,10180,male,87.07007498997967,332.4069376070703,305.41771037311764,s50,goa
2017,10180,total,159.34430297785048,677.657891208345,677.6578938387095,s50,goa
2017,10200,female,156.47214571406053,992.4543740166538,882.0935048221153,s50,goa
2017,10200,male,117.7275405594639,496.9478202702508,481.1356524216714,s50,goa
2017,10200,total,250.59364643833993,1177.4631383823876,1177.4631091608055,s50,goa
2017,10261,female,131.94409574824994,674.513183170724,592.1116976822211,s50,goa
2017,10261,male,68.63677385519816,402.62741937228935,367.0182132790744,s50,goa
2017,10261,total,168.72663333247414,908.7482085222176,908.7481920583044,s50,goa
2017,10262,female,157.25918458566343,824.6731015003709,722.4028251380668,s50,goa
2017,10262,male,103.50238712338498,415.99632627668586,369.9351395130487,s50,goa
2017,10262,total,224.490213721413,1082.104322995379,1082.1043714649843,s50,goa
2017,21720,female,61.451003172100464,470.3858041347941,477.27238798527515,s50,goa
2017,21720,male,53.20830326980062,390.8399649813319,404.2546362249789,s50,goa
2017,21720,total,91.67272895529074,726.8234154286273,726.8234574776632,s50,goa
2017,21740,female,11.28866454303027,73.90329693235596,58.27162106659082,s50,goa
2017,21740,male,13.658975831648034,73.10716849260409,57.56995127306866,s50,goa
2017,21740,total,13.658140773466346,94.20368375426634,94.20368307456538,s50,goa
2017,30060,female,171.05735956784915,314.90874648572026,252.59101092179736,s50,goa
2017,30060,male,152.29409231471072,255.9698183565613,228.97931879986743,s50,goa
2017,30060,total,277.98076804941456,411.54675455002746,411.5467556198721,s50,goa
2017,30420,female,92.3415143022642,91.06920865405851,84.32753662874832,s50,goa
2017,30420,male,77.97910327097091,169.3451596127879,112.04442372885116,s50,goa
2017,30420,total,158.76432755508444,185.80812526459428,185.80811984344464,s50,goa
2019,10110,female,365.75440402783505,4331.997736117909,2129.7625019778648,s50,goa
2019,10110,male,216.3302325970315,2559.961214569861,1137.5846853393834,s50,goa
2019,10110,total,546.1199645143159,5689.493479601388,5689.493409347024,s50,goa
2019,10130,female,69.20008085639441,935.1306892055022,576.234430378664,s50,goa
2019,10130,male,77.72041045314268,690.1898299099684,482.0943167548801,s50,goa
2019,10130,total,139.37156055972645,1181.373420849942,1181.3734059796811,s50,goa
2019,10180,female,65.68140995271617,423.03605563160227,410.7855475173948,s50,goa
2019,10180,male,74.12908047763848,451.78102243877873,438.15769823142534,s50,goa
2019,10180,total,137.51721196558054,776.3158140062511,776.3158050369553,s50,goa
2019,10200,female,198.94890264917768,1203.559403499995,1238.377358069424,s50,goa
2019,10200,male,137.7946182691877,802.9751523071158,824.9849373580756,s50,goa
2019,10200,total,299.3539742006653,1587.834190898723,1587.834225245188,s50,goa
2019,10262,female,226.76429438496095,1341.6792116006727,894.7911203653443,s50,goa
2019,10262,male,102.31645309711048,605.9907596250724,517.971052965119,s50,goa
2019,10262,total,303.5330788301016,1843.0256304269583,1843.0256174538508,s50,goa
2019,21720,female,44.76510900651288,248.74294354408144,225.55883053178025,s50,goa
2019,21720,male,49.49051595796139,266.2317534019706,251.28062385739332,s50,goa
2019,21720,total,59.363289514537925,345.01258445467903,345.0125749278397,s50,goa
2019,21740,female,99.38491024609264,439.44027538451974,446.7669563252532,s50,goa
2019,21740,male,84.95446744287263,293.1545403666267,276.45026105029103,s50,goa
2019,21740,total,82.83064319297213,348.4056647336741,348.4056575898791,s50,goa
2019,30060,female,219.55952838153232,725.7890061884706,541.9318365251669,s50,goa
2019,30060,male,232.5558891412204,545.3521218689901,447.9644330192343,s50,goa
2019,30060,total,341.0564401752203,788.0973530406495,788.0973480176639,s50,goa
2019,30420,female,80.33762955763952,123.4536940055375,111.26446589592872,s50,goa
2019,30420,male,61.95614946870835,184.37180020110924,123.2893963001858,s50,goa
2019,30420,total,139.94426170652832,247.84633791943577,247.8463306807821,s50,goa
2021,10130,female,87.71557585154594,1287.3413092265218,671.324962918601,s50,goa
2021,10130,male,83.88524900989658,1233.9626108467526,607.0757116165576,s50,goa
2021,10130,total,158.5984419868091,2036.434515244631,2036.434496593443,s50,goa
2021,10262,female,263.13939904652364,1619.2056772315805,884.8990374421338,s50,goa
2021,10262,male,108.04285794470756,621.3541779248343,461.41366458041625,s50,goa
2021,10262,total,359.27588108101105,1894.6835337291193,1894.6833129737977,s50,goa
2021,21720,female,106.92783718047234,730.0138314471077,690.7327319588505,s50,goa
2021,21720,male,98.38778888701684,650.9369032539065,619.1108233588923,s50,goa
2021,21720,total,155.19685415578118,1155.5051655308414,1155.505088333862,s50,goa
2021,21740,female,80.08179874097253,404.4497896845148,172.2651218437788,s50,goa
2021,21740,male,71.34973251381003,332.39641919535364,168.0265426658771,s50,goa
2021,21740,total,81.29233647092317,438.1290693889694,438.1290670603117,s50,goa
2021,30060,female,185.4856332909572,283.40860693660215,198.8059968142078,s50,goa
2021,30060,male,231.531731619576,325.31587326012794,237.46840204559768,s50,goa
2021,30060,total,349.347507235279,405.5206537030403,405.52065156280094,s50,goa
