iteration,ess_f,ess_m,ess_t
114,2431.950404,1305.385558,3261.268801
115,2440.876746,1302.799748,3267.198565
116,2441.986391,1303.970257,3280.335239
117,2437.011878,1302.505028,3275.368477
118,2436.093962,1305.623788,3275.284703
119,2443.477404,1307.046147,3285.575456
120,2449.042073,1311.316527,3293.549402
121,2444.371686,1314.495265,3297.623276
122,2434.77066,1314.704023,3282.004178
123,2442.30306,1315.123019,3286.085936
124,2441.047883,1315.710443,3281.673687
125,2449.692485,1320.848206,3295.958432
126,2458.015307,1320.695946,3306.301437
127,2457.866077,1321.113135,3310.511743
128,2461.026938,1316.685551,3304.523629
129,2460.61968,1313.958464,3308.905446
130,2464.273968,1316.186999,3312.504848
131,2471.173646,1319.810583,3320.446917
132,2477.435766,1323.360273,3328.419469
133,2487.221777,1325.518011,3340.243983
134,2495.814069,1327.024831,3349.985627
135,2490.135619,1327.053894,3346.59717
136,2490.293416,1326.017354,3349.241729
137,2489.930435,1323.549336,3346.50555
138,2498.662191,1328.954161,3357.894139
139,2494.220761,1318.468451,3339.187123
140,2492.526875,1319.463664,3338.136324
141,2500.767685,1319.610906,3349.695733
142,2504.00242,1321.191111,3352.675255
143,2510.227819,1320.590015,3361.764171
144,2518.358269,1320.177995,3367.718586
145,2522.341685,1323.302699,3373.363889
146,2528.220019,1322.881117,3375.461946
147,2529.844869,1325.200843,3381.118644
148,2536.436268,1323.713344,3389.132542
149,2519.249584,1322.621824,3372.242873
150,2524.91832,1322.486085,3373.029105
151,2524.465479,1323.243634,3381.07964
152,2524.866649,1322.176778,3374.29833
153,2526.38258,1320.844202,3374.094183
154,2532.693603,1325.521396,3384.070507
155,2537.922368,1327.903078,3391.608264
156,2531.315408,1328.506656,3392.24951
157,2534.967985,1328.632731,3389.563652
158,2534.708863,1327.179581,3397.394783
159,2540.0215,1331.389538,3408.557326
160,2536.696967,1333.539391,3406.471995
161,2522.173797,1324.609894,3382.582351
162,2519.739764,1326.418957,3383.039409
163,2517.880491,1330.080597,3389.632804
164,2522.872253,1333.773979,3397.050267
165,2527.925391,1335.612285,3405.909488
166,2534.291747,1337.901237,3415.104411
167,2540.656591,1339.834459,3421.799721
168,2536.584544,1344.499232,3420.87158
169,2529.809933,1345.952005,3410.095303
170,2518.128419,1348.691939,3399.953735
171,2517.795777,1350.163808,3399.558245
172,2517.886191,1350.889467,3400.862952
173,2518.34818,1352.840496,3401.573515
174,2517.244099,1347.524015,3391.365625
175,2510.873775,1339.891138,3376.870904
176,2508.190435,1341.619361,3375.789264
177,2512.803807,1344.040705,3382.466509
178,2516.560928,1344.769415,3387.315001
179,2523.010383,1347.71613,3396.15605
180,2520.471446,1347.001223,3396.397383
181,2505.121071,1349.183332,3392.583337
182,2510.268588,1352.924971,3402.541801
183,2499.893276,1350.041184,3386.188282
184,2500.678579,1354.738537,3392.559869
185,2496.232859,1357.290774,3396.70899
186,2495.689415,1354.257143,3400.822557
187,2497.558799,1353.560445,3397.768851
188,2503.176907,1355.971446,3404.418554
189,2506.311507,1355.731687,3407.259989
190,2488.819746,1356.873871,3396.56702
191,2494.907097,1356.441036,3400.845505
192,2495.842027,1354.414039,3403.956099
193,2498.248188,1355.208865,3406.146125
194,2500.76981,1357.705231,3414.350243
195,2502.457224,1357.233695,3420.657146
196,2503.180344,1347.764446,3415.17402
197,2507.499266,1350.365886,3423.160511
198,2509.757227,1348.638789,3425.047212
199,2503.494519,1349.295066,3423.378293
200,2507.75976,1349.628511,3429.053213
201,2509.498685,1351.718885,3431.274461
202,2480.629878,1342.543884,3399.170663
203,2479.51063,1340.948471,3401.52081
204,2479.801874,1343.370493,3401.990182
205,2473.442244,1339.347162,3389.586996
206,2475.234207,1338.999282,3395.415726
207,2471.935266,1333.868472,3390.549868
208,2467.905624,1335.856559,3387.379362
209,2445.182022,1333.191483,3364.745961
210,2439.83689,1335.441295,3365.057726
211,2441.730269,1338.788325,3371.075652
212,2439.008964,1337.43885,3373.451595
213,2435.971818,1325.5656,3354.687788
214,2440.187394,1324.415276,3357.198315
215,2442.694949,1322.280656,3360.398423
216,2450.135547,1325.710378,3371.077238
217,2453.012706,1327.509019,3374.744638
218,2456.485681,1328.590356,3376.568855
219,2447.356572,1327.174879,3361.012925
220,2445.807578,1329.180296,3359.650306
221,2448.463344,1330.70471,3363.812448
222,2444.466792,1329.164205,3360.5001
223,2445.573214,1326.026501,3358.910772
224,2448.977531,1325.886789,3366.273351
225,2450.52299,1326.580675,3365.256208
226,2452.959762,1327.746443,3368.358495
227,2454.41015,1328.722066,3367.359524
228,2455.007151,1327.517898,3367.030837
229,2456.709418,1329.368882,3372.239669
230,2457.180534,1329.169914,3370.2311
231,2459.244411,1330.58815,3371.712923
232,2460.003326,1332.846343,3377.563132
233,2463.233505,1332.235854,3383.968047
234,2465.066524,1334.265655,3387.939544
235,2465.743959,1336.134451,3391.236377
236,2425.441678,1329.279616,3365.015346
237,2429.232125,1332.823826,3370.07887
238,2433.714078,1329.976287,3371.543696
239,2435.879328,1331.211146,3373.350261
240,2438.087377,1332.351766,3381.350622
241,2441.929411,1333.504997,3387.716802
242,2444.672588,1324.853727,3382.612351
243,2444.604921,1322.301605,3383.523865
244,2443.226073,1322.808086,3383.638376
245,2437.146919,1324.187351,3382.768689
246,2438.351921,1324.865698,3386.031373
247,2437.906936,1325.390123,3390.770052
248,2436.387797,1326.521408,3388.938971
249,2441.902705,1325.404943,3394.008412
250,2446.194265,1328.141036,3399.792745
251,2443.229909,1325.712453,3388.701023
252,2440.360135,1326.980591,3383.960595
253,2439.085159,1329.48535,3390.996761
254,2443.22897,1329.22664,3395.583573
255,2439.963463,1322.480026,3393.762809
256,2440.509944,1322.154105,3397.143079
257,2439.91125,1323.883387,3395.159102
258,2438.524022,1326.50229,3398.668537
259,2444.050651,1327.414015,3404.555359
260,2446.392105,1328.112981,3405.744228
261,2444.700548,1327.747659,3402.252814
262,2446.19254,1329.850323,3406.102428
263,2450.73936,1329.226568,3409.742882
264,2450.732744,1326.036532,3409.781718
265,2454.091339,1328.438546,3414.367356
266,2445.781866,1327.199745,3403.761331
267,2448.163776,1327.240701,3408.498207
268,2451.541494,1329.73944,3414.166763
269,2457.288162,1330.304785,3421.149041
270,2450.308483,1330.187837,3414.74672
271,2453.564483,1332.211463,3421.231122
272,2457.155055,1333.670707,3424.823512
273,2460.511644,1333.196913,3428.122218
274,2463.168837,1335.153296,3431.634386
275,2465.548952,1338.315971,3437.629617
276,2465.054244,1340.505578,3439.435328
277,2461.813515,1341.525474,3438.961331
278,2463.969874,1343.984348,3443.745335
279,2467.563069,1345.72381,3447.684955
280,2471.251576,1346.903386,3452.482211
281,2473.613758,1348.636923,3458.212742
282,2475.844871,1348.834191,3459.561386
283,2479.282199,1346.405395,3457.505809
284,2478.498014,1341.902809,3450.486196
285,2479.089391,1334.101527,3438.56843
286,2482.770796,1336.788167,3445.050686
287,2479.149206,1333.007815,3438.078855
288,2478.469142,1333.349278,3439.06343
289,2479.54379,1335.284176,3440.38467
290,2483.47642,1329.871183,3440.264453
291,2485.423383,1331.366312,3443.649508
292,2486.904387,1332.513076,3446.637722
293,2482.232719,1329.989476,3440.881926
294,2485.876336,1330.008227,3443.600145
295,2487.135467,1330.778974,3444.521433
296,2486.359999,1330.789966,3441.940106
297,2482.638255,1328.163787,3430.329462
298,2458.020022,1324.46396,3414.334159
299,2458.45335,1325.03616,3418.141244
300,2459.470681,1325.027933,3415.444561
301,2455.279761,1316.228762,3406.469576
302,2458.401792,1317.084433,3408.786657
303,2457.376233,1317.809111,3408.686404
304,2460.448801,1318.275544,3412.358912
305,2463.726749,1320.223703,3416.80571
306,2465.213413,1319.796491,3415.168153
307,2467.907609,1319.015466,3416.428565
308,2468.71756,1318.187479,3414.847962
309,2471.383056,1319.783611,3417.022279
310,2474.820145,1320.80931,3421.455474
311,2459.793101,1319.678033,3406.907067
312,2457.016425,1319.273905,3404.39517
313,2457.204469,1320.136293,3404.940505
314,2436.325562,1318.688777,3384.28546
315,2432.875889,1319.719773,3381.551256
316,2435.759136,1318.624031,3382.089172
317,2437.286864,1320.270351,3387.225655
318,2440.259373,1322.143762,3391.626733
319,2438.782577,1322.168283,3390.363985
320,2438.529905,1323.228115,3392.090975
321,2435.366597,1322.270741,3389.661606
322,2438.356504,1324.203842,3394.526079
323,2435.738694,1323.142101,3389.050857
324,2436.390762,1324.501675,3392.96952
325,2438.134827,1324.911741,3393.378302
326,2438.810341,1325.71663,3392.990108
327,2442.141202,1327.068361,3399.835628
328,2442.491477,1325.870624,3401.635615
329,2442.366111,1327.350801,3404.105702
330,2441.801246,1323.106483,3398.487292
331,2444.604313,1324.407524,3402.146956
332,2444.502717,1325.630718,3403.164695
333,2444.798315,1325.346546,3402.530076
334,2447.957767,1327.185768,3407.500335
335,2448.868196,1326.350132,3409.373572
336,2449.621579,1327.837307,3412.893717
337,2447.168246,1329.215768,3412.630058
338,2449.409923,1330.375263,3417.098167
339,2452.736613,1330.370793,3422.486319
340,2452.798993,1331.928093,3423.885531
341,2449.975371,1332.62893,3420.042159
342,2450.935077,1334.379351,3421.410159
343,2446.456506,1330.236602,3413.831591
344,2446.426159,1329.685476,3415.884087
345,2449.076736,1326.973078,3418.837073
346,2449.121655,1324.667283,3418.106751
347,2448.741908,1319.436092,3409.357685
348,2445.813753,1319.187611,3409.066332
349,2447.906416,1320.461798,3411.372274
350,2447.934094,1321.546269,3409.131084
351,2445.883706,1323.154806,3410.903278
352,2446.958202,1322.58718,3413.655832
353,2448.45646,1322.515704,3415.739578
354,2446.838794,1320.152778,3412.615047
355,2447.062264,1320.427307,3413.049151
356,2436.975895,1318.947702,3404.774543
357,2437.19696,1315.535592,3397.34553
358,2419.603654,1314.84012,3384.082656
359,2415.135087,1314.488946,3377.567204
360,2417.686555,1315.331336,3380.629614
361,2416.123671,1315.867761,3383.598997
362,2417.92738,1317.429064,3388.158204
363,2415.819607,1314.770698,3380.374426
364,2416.742004,1313.922796,3378.682398
365,2414.381806,1309.997788,3371.986015
366,2415.637211,1310.371414,3375.792988
367,2418.027551,1308.510876,3378.023027
368,2411.281485,1308.611404,3374.195533
369,2412.967418,1309.845405,3378.631727
370,2416.295692,1311.169137,3382.298674
371,2415.23895,1308.753414,3379.399027
372,2417.717543,1306.88095,3380.310183
373,2418.855673,1308.26482,3382.970588
374,2417.62928,1308.100768,3383.936109
375,2420.649762,1309.999243,3388.199174
376,2422.024915,1309.629146,3390.825273
377,2424.806889,1309.434295,3392.311016
378,2421.649838,1309.55542,3385.863372
379,2419.572372,1311.03403,3386.997897
380,2416.168273,1310.144117,3385.877008
381,2417.302263,1310.769455,3389.212732
382,2419.708733,1311.441647,3391.279349
383,2418.771189,1312.410024,3393.188762
384,2421.658224,1313.109005,3397.606439
385,2424.792783,1314.425509,3401.920632
386,2423.934451,1313.513111,3399.485142
387,2425.468817,1314.230118,3401.996844
388,2427.688809,1314.77167,3404.263296
389,2426.49008,1314.72895,3403.790841
390,2428.52056,1314.095125,3406.490466
391,2430.014588,1314.932025,3407.903932
392,2428.840678,1315.561389,3407.796888
393,2429.778956,1317.131189,3410.665309
394,2430.967485,1318.272176,3413.988142
395,2429.143434,1316.376222,3413.333014
396,2430.413477,1316.98267,3415.045983
397,2431.879258,1317.74493,3417.155385
398,2434.891375,1318.180329,3420.318189
399,2429.510744,1317.297545,3415.438969
400,2429.121089,1317.444422,3416.478008
401,2428.495892,1316.749825,3415.6252
402,2427.335328,1314.328896,3410.275564
403,2426.983173,1314.998121,3410.793728
404,2423.126996,1312.298965,3408.001815
405,2420.681886,1313.487549,3406.850162
406,2422.83405,1313.129134,3405.838437
407,2423.092533,1314.243981,3407.978381
408,2422.860638,1315.458975,3409.63439
409,2425.738204,1316.368634,3412.812159
410,2429.708983,1316.131698,3417.909475
411,2428.373368,1316.623069,3418.338711
412,2428.865713,1318.35189,3420.860152
413,2429.469769,1318.478334,3419.362234
414,2431.197582,1320.013808,3423.031679
415,2432.020253,1321.527882,3426.664162
416,2424.793462,1315.944999,3418.726931
417,2425.709238,1316.954964,3421.032178
418,2424.372528,1317.767292,3421.628502
419,2420.684478,1316.491054,3418.279585
420,2420.299836,1316.791804,3419.689456
421,2420.862961,1317.297986,3421.08436
422,2423.108928,1318.016564,3424.371044
423,2422.690522,1317.932637,3426.91195
424,2424.98181,1319.167925,3429.547427
425,2422.066786,1319.90315,3430.882474
426,2421.061702,1318.477283,3426.705319
427,2423.207736,1320.085108,3430.548388
428,2426.506175,1321.215099,3435.715138
429,2427.530337,1321.663072,3436.325404
430,2426.080826,1321.46573,3434.05763
431,2428.213482,1321.201899,3435.356337
432,2429.138945,1321.869457,3436.590946
433,2427.424398,1322.210186,3436.272798
434,2431.188053,1322.512557,3441.090553
435,2430.93307,1322.343005,3441.343576
436,2431.354646,1321.908733,3440.518776
437,2432.086421,1321.839049,3441.684073
438,2433.246219,1322.377442,3442.092498
439,2433.915201,1323.711545,3444.749755
440,2436.368669,1324.22539,3447.69041
441,2438.677387,1325.702389,3451.431462
442,2440.267255,1326.102918,3454.128084
443,2442.088487,1327.499084,3457.313313
444,2439.951856,1327.655462,3454.637321
445,2439.328736,1326.502718,3454.652409
446,2437.662835,1326.424834,3452.847425
447,2437.829339,1326.294099,3453.983804
448,2440.371486,1327.268669,3457.223234
449,2442.443188,1327.869297,3460.351293
450,2442.330413,1328.160428,3459.313147
451,2443.592461,1327.14188,3458.24113
452,2444.505149,1327.382765,3457.65727
453,2446.539712,1329.151431,3461.454765
454,2446.479356,1330.694718,3462.241296
455,2449.299691,1330.535034,3463.200323
456,2448.595635,1330.686851,3463.025046
457,2449.825349,1332.591974,3466.303054
458,2450.328348,1332.248708,3467.742001
459,2437.013188,1318.449035,3447.752963
460,2439.971661,1319.840985,3451.959792
461,2439.770495,1320.222949,3452.770041
462,2441.638,1319.11634,3452.474085
463,2443.121069,1319.647817,3455.756848
464,2444.244229,1318.554262,3454.94624
465,2441.610978,1319.211023,3452.543154
466,2441.844709,1319.76259,3452.82588
467,2441.517814,1318.7243,3449.766716
468,2440.661465,1318.753721,3448.454856
469,2435.656011,1318.363203,3444.761911
470,2434.734259,1319.966497,3444.501506
471,2427.656146,1318.365395,3438.348087
472,2429.477796,1318.904851,3442.693961
473,2427.670998,1316.582481,3437.531137
474,2429.498856,1318.471052,3440.650285
475,2427.624442,1317.451131,3438.473142
476,2428.126825,1317.95278,3439.705005
477,2431.386664,1318.67919,3444.251985
478,2425.977166,1318.231744,3439.505168
479,2427.058064,1319.176622,3441.133542
480,2425.768687,1320.338113,3439.90784
481,2425.053626,1320.48551,3439.413225
482,2426.863709,1319.559942,3441.391609
483,2427.136941,1318.436251,3441.956924
484,2428.971874,1318.99398,3443.943216
485,2428.349235,1319.302156,3444.426605
486,2429.819808,1318.988254,3445.32087
487,2430.140844,1316.701549,3440.327927
488,2429.537867,1317.83471,3440.847321
489,2432.51625,1318.880145,3444.450074
490,2433.04424,1315.542632,3443.236563
491,2434.495548,1316.301725,3444.650698
492,2433.88634,1315.187439,3440.799689
493,2434.532082,1316.022883,3442.712876
494,2427.753961,1313.684657,3435.265408
495,2430.385172,1314.463602,3437.773463
496,2428.524371,1315.904309,3438.774447
497,2428.599158,1314.208203,3437.926207
498,2431.344963,1315.07425,3441.483982
499,2432.703362,1315.839932,3443.071109
500,2434.75941,1316.110538,3445.631089
501,2436.701451,1316.860286,3447.582976
502,2438.448618,1317.384255,3447.916805
503,2437.906048,1317.866229,3447.029386
504,2439.912612,1317.63063,3448.311109
505,2441.877144,1317.598644,3451.215903
506,2445.048668,1319.309893,3455.784973
507,2446.983858,1320.118023,3457.380609
508,2446.689581,1320.520316,3457.669783
509,2448.959916,1320.285863,3457.783792
510,2450.588838,1321.181887,3460.739308
511,2450.183484,1317.984964,3454.372672
512,2451.711817,1318.132016,3456.319514
513,2452.92925,1318.85825,3458.765635
514,2453.309498,1318.762911,3459.200319
515,2454.08615,1318.995091,3459.448858
516,2453.986669,1319.351341,3459.179517
517,2454.042904,1317.634022,3455.937372
518,2453.835123,1316.966992,3453.788877
519,2451.404261,1317.744897,3452.36617
520,2451.469113,1318.636528,3454.128507
521,2452.690119,1319.875894,3456.52077
522,2442.867364,1318.20287,3444.082221
523,2443.67601,1318.403437,3444.789509
524,2444.029991,1317.595263,3443.00841
525,2443.559912,1318.049164,3443.342508
526,2440.716509,1317.65176,3439.760188
527,2442.150842,1317.856005,3440.68699
528,2440.112474,1316.994768,3435.683926
529,2441.619524,1317.449725,3437.643215
530,2441.311207,1317.889125,3436.296312
531,2440.737229,1318.600124,3436.743707
532,2441.988441,1318.792373,3438.070989
533,2441.410584,1319.462398,3437.672743
534,2441.794723,1320.364257,3438.612788
535,2441.474109,1321.602736,3440.50513
536,2443.090993,1322.627775,3442.963208
537,2445.76611,1323.64685,3447.224879
538,2438.736219,1322.563623,3442.242899
539,2434.035721,1323.145256,3439.088474
540,2432.862387,1323.158327,3441.134206
541,2434.498454,1324.092018,3444.291512
542,2433.475029,1323.838712,3444.072514
543,2433.892392,1323.194914,3444.981081
544,2436.69178,1324.14983,3448.275848
545,2437.706894,1324.355996,3450.286991
546,2438.689129,1324.193521,3451.063675
547,2440.267342,1324.978754,3453.841797
548,2441.555628,1324.083778,3452.389518
549,2440.540405,1325.011463,3452.558855
550,2442.394213,1326.322766,3455.039611
551,2444.924562,1327.958897,3459.576769
552,2445.887251,1329.24636,3461.665097
553,2445.079524,1327.347327,3460.728401
554,2444.472,1328.536088,3460.421994
555,2443.905993,1329.635835,3461.812103
556,2444.494392,1329.364428,3462.354151
557,2445.80999,1329.454685,3463.121247
558,2446.237019,1329.703194,3463.59035
559,2448.517392,1330.320904,3467.290314
560,2449.442691,1329.927236,3465.358629
561,2448.397317,1329.922096,3463.694424
562,2447.021683,1329.287428,3463.318941
563,2448.122221,1329.351481,3463.710842
564,2450.360843,1330.221711,3466.267494
565,2451.78595,1330.324266,3468.031346
566,2452.948548,1331.687501,3470.032559
567,2451.894222,1330.458415,3469.245706
568,2444.726402,1328.500127,3461.50172
569,2442.959066,1328.07356,3460.389716
570,2443.863839,1329.666717,3461.936572
571,2444.911502,1330.873831,3463.188161
572,2445.685445,1329.94644,3461.864682
573,2446.545454,1330.828624,3463.474456
574,2447.679406,1331.017755,3464.850716
575,2448.528937,1330.733859,3466.923289
576,2450.289463,1331.417874,3468.510052
577,2452.614385,1330.516489,3468.922252
578,2450.188281,1330.079475,3465.956791
579,2451.668106,1331.174754,3467.960521
580,2450.693266,1330.214346,3463.081542
581,2450.549044,1331.034142,3461.698193
582,2450.626023,1331.365293,3462.68532
583,2451.986619,1332.382485,3464.84031
584,2453.047788,1332.305226,3466.639036
585,2453.503398,1333.071509,3467.421999
586,2454.305316,1334.021845,3468.402812
587,2455.131565,1334.258132,3469.705272
588,2456.042965,1334.751019,3470.233088
589,2456.414404,1336.269744,3472.012705
590,2457.480154,1335.738928,3471.818343
591,2457.254179,1334.110102,3470.349018
592,2457.046026,1334.617714,3470.378051
593,2456.143802,1334.554511,3469.75054
594,2455.701026,1335.664296,3469.43119
595,2456.835055,1335.387554,3470.924909
596,2455.836165,1331.090073,3469.133891
597,2456.409957,1330.659864,3469.375202
598,2457.514608,1331.421005,3471.790258
599,2458.283002,1331.136223,3471.912748
600,2455.154907,1331.322379,3469.639209
601,2454.934316,1332.203515,3470.924631
602,2455.854948,1332.23017,3471.206597
603,2456.493543,1332.660999,3472.1573
604,2452.756726,1330.990571,3464.487505
605,2453.242682,1330.587345,3463.222602
606,2452.110898,1329.880807,3462.745294
607,2453.14138,1329.220676,3463.303786
608,2453.14268,1329.424233,3463.741881
609,2453.123616,1330.047344,3464.242602
610,2454.389333,1328.417468,3463.02827
611,2452.781543,1326.418945,3460.127452
612,2453.513149,1326.127759,3459.849921
613,2453.843606,1325.571291,3458.491987
614,2455.4072,1326.29549,3460.521939
615,2454.477412,1326.002823,3459.555714
616,2455.070249,1321.568464,3456.363801
617,2455.612974,1321.918142,3455.899357
618,2455.311248,1321.61768,3455.846144
619,2455.774164,1322.236792,3456.619467
620,2455.508337,1321.524753,3455.222365
621,2454.734278,1321.950734,3454.240265
622,2454.534377,1322.424447,3453.575154
623,2454.469811,1321.213339,3453.956527
624,2454.767575,1320.82736,3454.279875
625,2455.66672,1321.129351,3455.195578
626,2455.745444,1322.098594,3456.495301
627,2456.616014,1321.378752,3456.774493
628,2458.771126,1321.552412,3459.581698
629,2457.653225,1319.679252,3457.998131
630,2455.76005,1319.956237,3458.140232
631,2456.81039,1320.356632,3460.06093
632,2455.937142,1320.102107,3460.593559
633,2457.170755,1320.798111,3461.857549
634,2459.588885,1321.014857,3464.404957
635,2455.744903,1314.951558,3453.94861
636,2455.348441,1315.549071,3453.382758
637,2456.947233,1316.114972,3456.223122
638,2457.553807,1315.830654,3455.695702
639,2458.206415,1315.226486,3456.064338
640,2460.529649,1315.612257,3458.979531
641,2459.654293,1315.234976,3458.719994
642,2459.256408,1313.618487,3453.669231
643,2457.451575,1313.153345,3451.601645
644,2457.702636,1312.05433,3449.611875
645,2456.971985,1312.318744,3449.992926
646,2455.793666,1313.237284,3449.996897
647,2457.099943,1313.827276,3451.83415
648,2458.496699,1314.13931,3453.448283
649,2460.162349,1314.629788,3455.490782
650,2456.841915,1313.766291,3450.295988
651,2457.138654,1313.434778,3449.959008
652,2458.140371,1313.526041,3450.456966
653,2460.225344,1314.271854,3452.326404
654,2456.877314,1314.581695,3450.760717
655,2457.485225,1314.433175,3450.422714
656,2458.123279,1315.579875,3451.333958
657,2458.036872,1316.355843,3453.040552
658,2458.50974,1314.463327,3450.552615
659,2460.271916,1315.126548,3452.380436
660,2457.493917,1315.737051,3452.71111
661,2457.861615,1316.270755,3454.243424
662,2458.437418,1317.428041,3456.639913
663,2457.111021,1317.105552,3453.333186
664,2457.050898,1317.152177,3453.354886
665,2449.736794,1316.770808,3448.899962
666,2450.844655,1316.3879,3448.98291
667,2451.708807,1316.393461,3449.051353
668,2452.681732,1317.064018,3450.344103
669,2449.88442,1317.473243,3448.610247
670,2451.386776,1317.877006,3450.096703
671,2451.937353,1318.128374,3451.843213
672,2450.151468,1318.540443,3450.500202
673,2447.286928,1318.60903,3449.768081
674,2448.786424,1317.788207,3451.43586
675,2447.792053,1318.092424,3449.196827
676,2447.313679,1317.382187,3447.240556
677,2447.579902,1316.443983,3444.876584
678,2448.145858,1316.65408,3446.342814
679,2449.685276,1316.562821,3447.401185
680,2450.879017,1317.263851,3449.299896
681,2450.524153,1317.031816,3447.376837
682,2448.904533,1317.718759,3447.223769
683,2450.575954,1317.993542,3449.968993
684,2451.023173,1317.884545,3451.820722
685,2452.423899,1316.29046,3451.131594
686,2452.761128,1317.486781,3452.789429
687,2454.450106,1318.15801,3454.970914
688,2456.29448,1318.352561,3457.001358
689,2455.660093,1318.623325,3458.076422
690,2455.797806,1319.430444,3458.553843
691,2456.695416,1320.41652,3460.647512
692,2458.339081,1320.664282,3462.695614
693,2458.363817,1320.350282,3461.708762
694,2457.214633,1318.408956,3459.405082
695,2456.846341,1319.359235,3459.020591
696,2456.888015,1319.752202,3458.971506
697,2457.322568,1319.898439,3459.565814
698,2457.115182,1320.144223,3459.502837
699,2458.675893,1317.975846,3459.664294
