iteration,ess_f,ess_m,ess_t
2,3449.08838,1335.425949,3943.729464
3,3371.355024,1506.50787,4128.698835
4,3175.862341,1567.654578,4154.407736
5,2835.008182,1615.117635,4035.97926
6,2873.740124,1665.186038,4118.395845
7,2660.766091,1683.731119,3987.026288
8,2759.928733,1722.155844,4089.083923
9,2631.60688,1626.177421,3877.975542
10,2673.153144,1652.751913,3878.992756
11,2693.551127,1652.915239,3830.885499
12,2764.443218,1559.664888,3764.603629
13,2839.193628,1552.723963,3820.254897
14,2834.394603,1570.832126,3865.903293
15,2712.612479,1529.13811,3726.502659
16,2652.05954,1543.831459,3723.786412
17,2295.397195,1444.402198,3349.564561
18,2302.367035,1459.375099,3382.853551
19,2321.810313,1439.691893,3364.19646
20,2365.559916,1448.182502,3386.592169
21,2341.474772,1425.404735,3349.192625
22,2093.488168,1366.482203,3014.627917
23,1931.895955,1281.496172,2778.428678
24,1983.311785,1302.775485,2845.644002
25,1995.482146,1289.36109,2825.012792
26,1944.603721,1279.39273,2783.750502
27,1973.289144,1292.805051,2828.826693
28,1985.773479,1278.53825,2858.888998
29,1993.865806,1289.989885,2889.038991
30,2007.610482,1278.418768,2882.521132
31,1976.582035,1274.889021,2857.040711
32,1980.9427,1221.575772,2786.012241
33,1981.328439,1203.423636,2773.439061
34,1977.172219,1198.75447,2788.242326
35,1998.451322,1185.654096,2776.533258
36,2007.160166,1194.302319,2784.037102
37,2013.591957,1200.098701,2791.801347
38,2006.888655,1180.509856,2744.987563
39,2032.219523,1175.206993,2750.275128
40,2055.57151,1182.212455,2783.449223
41,2053.257524,1189.415673,2790.816502
42,2053.956633,1184.711648,2770.304959
43,2083.294926,1204.059,2814.290322
44,2103.012687,1214.755665,2842.870538
45,2124.217198,1217.452546,2864.476644
46,2141.120532,1218.325191,2887.173543
47,2160.869772,1208.55829,2882.307057
48,2147.773473,1198.184268,2855.995992
49,2129.743023,1186.863243,2841.888053
50,2143.350853,1189.815937,2844.636693
51,2128.132907,1203.741467,2847.72763
52,2147.072353,1201.173526,2878.709645
53,2161.218807,1216.996635,2904.082714
54,2184.229156,1216.019495,2924.97423
55,2198.91837,1223.3662,2946.19172
56,2190.160348,1225.262455,2942.772787
57,2190.517385,1230.374459,2950.588095
58,2198.698202,1236.982098,2956.621593
59,2194.021969,1238.335307,2953.173099
60,2201.96755,1245.453203,2967.027485
61,2202.500022,1245.025609,2990.072071
62,2204.874624,1256.710809,3005.883761
63,2184.227862,1259.428268,2983.006609
64,2191.424853,1251.899704,2988.681062
65,2201.254449,1260.188465,3012.102945
66,2204.10736,1268.179638,3026.613473
67,2220.571888,1275.960537,3049.782105
68,2232.861485,1280.641676,3069.209667
69,2239.517957,1283.085208,3080.095348
70,2250.802562,1284.648121,3093.076662
71,2260.636534,1273.47167,3078.846379
72,2275.059513,1280.058596,3093.128464
73,2276.779028,1277.889659,3094.512797
74,2274.765554,1280.756766,3094.666413
75,2269.811764,1282.517763,3093.754403
76,2272.500382,1288.254293,3093.501544
77,2272.897904,1291.700163,3101.394793
78,2281.462482,1298.176447,3116.253043
79,2290.349029,1302.831545,3131.714843
80,2300.01292,1305.387364,3138.628038
81,2309.590328,1313.649388,3155.003257
82,2304.849265,1307.555247,3152.285448
83,2312.457777,1308.639951,3166.833211
84,2318.754795,1311.687247,3169.904189
85,2328.516233,1308.102059,3176.050098
86,2341.22074,1316.966359,3197.712856
87,2339.911864,1307.552147,3190.972641
88,2347.144912,1303.70815,3198.536787
89,2357.188249,1308.597349,3210.128898
90,2355.808886,1311.353119,3215.906834
91,2351.925888,1297.484849,3181.856669
92,2352.342463,1296.592354,3189.743589
93,2359.754252,1289.07134,3182.748756
94,2373.029305,1294.044256,3198.829606
95,2378.601065,1297.992236,3204.122286
96,2382.086312,1287.67036,3201.64622
97,2386.863278,1286.092742,3202.595791
98,2394.364645,1286.535736,3212.450892
99,2400.366271,1290.928262,3231.446535
100,2394.278542,1291.930243,3229.82613
101,2392.456122,1295.798604,3236.179199
102,2401.730497,1294.930109,3244.873135
103,2407.60876,1291.222385,3235.439595
104,2413.100477,1297.162753,3247.629707
105,2423.489801,1300.868639,3263.753996
106,2426.739432,1304.380321,3265.647709
107,2431.056772,1300.189029,3263.03665
108,2435.887055,1299.702409,3258.559316
109,2431.083976,1300.598356,3257.984454
110,2433.684156,1304.67489,3264.905798
111,2435.247643,1308.978303,3270.221726
112,2439.68217,1314.546622,3280.906864
113,2435.05781,1313.850421,3266.329683
