sim,year,sub_samp,species_code,relb_males,relb_females
1,2017,t100,10110,0.007460716741376423,0.017221034479594353
1,2017,t150,10110,0.007460716741376423,0.017221034479594353
1,2017,t100,10130,0.030225603380412143,0.007461622118711826
1,2017,t150,10130,0.030225603380412143,0.007461622118711826
1,2017,t100,10200,-0.025939828252127324,9.645167854926155e-4
1,2017,t150,10200,-0.025939828252127324,9.645167854926155e-4
1,2017,t100,10261,-3.0162747040983614e-4,-0.0015895934060918045
1,2017,t150,10261,-3.0162747040983614e-4,-0.0015895934060918045
1,2017,t100,21720,0.023260288788219216,0.026575454163325702
1,2017,t150,21720,0.023260288788219216,0.026575454163325702
1,2017,t100,21740,-0.11529258912843504,-0.1340218688381665
1,2017,t150,21740,-0.11529258912843504,-0.1340218688381665
1,2017,t100,30060,-0.0020867329237747754,0.004894347459203513
1,2017,t150,30060,-0.0020867329237747754,0.004894347459203513
1,2017,t100,30420,0.006540336782453952,0.01534460203735555
1,2017,t150,30420,0.006540336782453952,0.01534460203735555
1,2019,t100,10110,-0.0012256452633464731,-0.002308428979626748
1,2019,t150,10110,-0.0012256452633464731,-0.002308428979626748
1,2019,t100,10130,-0.017452908652133357,-0.037398645587393635
1,2019,t150,10130,-0.017452908652133357,-0.037398645587393635
1,2019,t100,10200,-0.009918834858905096,0.0030372537519821894
1,2019,t150,10200,-0.009918834858905096,0.0030372537519821894
1,2019,t100,10261,-0.011597778067367948,0.012108331600552151
1,2019,t150,10261,-0.011597778067367948,0.012108331600552151
1,2019,t100,21720,0.04205746355812228,0.044127627212314086
1,2019,t150,21720,0.04205746355812228,0.044127627212314086
1,2019,t100,21740,-0.053109769297006656,-0.03416870904326888
1,2019,t150,21740,-0.053109769297006656,-0.03416870904326888
1,2019,t100,30060,-0.03197717647768451,-0.019252770279622362
1,2019,t150,30060,-0.03197717647768451,-0.019252770279622362
1,2019,t100,30420,-0.01485342306422703,0.0012799397590610236
1,2019,t150,30420,-0.01485342306422703,0.0012799397590610236
1,2021,t100,10110,-0.006288987876516106,-0.011590367618552899
1,2021,t150,10110,-0.006288987876516106,-0.011590367618552899
1,2021,t100,10130,-0.014273326834200708,-0.02644633690886418
1,2021,t150,10130,-0.014273326834200708,-0.02644633690886418
1,2021,t100,10200,0.002842809600023525,0.001876150462524284
1,2021,t150,10200,0.002842809600023525,0.001876150462524284
1,2021,t100,10261,-0.028555011790526632,-0.06697452910014683
1,2021,t150,10261,-0.028555011790526632,-0.06697452910014683
1,2021,t100,21720,0.004610825863444687,-8.150323201765459e-4
1,2021,t150,21720,0.004610825863444687,-8.150323201765459e-4
1,2021,t100,21740,0.007489927388918639,0.007000529180410324
1,2021,t150,21740,0.007489927388918639,0.007000529180410324
1,2021,t100,30060,2.3396366865663734e-4,-0.0017520705526810516
1,2021,t150,30060,2.3396366865663734e-4,-0.0017520705526810516
1,2021,t100,30420,0.0028013350649068254,0.010323676163682625
1,2021,t150,30420,0.0028013350649068254,0.010323676163682625
2,2017,t100,10110,-0.022610038606476028,-0.009994793211507367
2,2017,t150,10110,-0.022610038606476028,-0.009994793211507367
2,2017,t100,10130,-9.740889035244966e-4,0.0016842091513398333
2,2017,t150,10130,-9.740889035244966e-4,0.0016842091513398333
2,2017,t100,10200,8.772621248975072e-4,-0.017435247825092298
2,2017,t150,10200,8.772621248975072e-4,-0.017435247825092298
2,2017,t100,10261,0.0025055567768736578,0.0043035238250479484
2,2017,t150,10261,0.0025055567768736578,0.0043035238250479484
2,2017,t100,21720,-0.043474250230404174,-0.03603229752705945
2,2017,t150,21720,-0.043474250230404174,-0.03603229752705945
2,2017,t100,21740,0.028541443447447946,0.11358792409217494
2,2017,t150,21740,0.028541443447447946,0.11358792409217494
2,2017,t100,30060,0.008137215699317702,0.011677146360502608
2,2017,t150,30060,0.008137215699317702,0.011677146360502608
2,2017,t100,30420,0.002641959029605384,-0.0030426851570818985
2,2017,t150,30420,0.002641959029605384,-0.0030426851570818985
2,2019,t100,10110,-0.013543779311444319,2.3415827140462787e-5
2,2019,t150,10110,-0.013543779311444319,2.3415827140462787e-5
2,2019,t100,10130,0.03348025997118904,0.03672740359634987
2,2019,t150,10130,0.03348025997118904,0.03672740359634987
2,2019,t100,10200,0.029588849497176314,0.004700599463704245
2,2019,t150,10200,0.029588849497176314,0.004700599463704245
2,2019,t100,10261,-0.008443463319402617,-0.00693886942316988
2,2019,t150,10261,-0.008443463319402617,-0.00693886942316988
2,2019,t100,21720,0.008016453657328023,0.034273379846388896
2,2019,t150,21720,0.008016453657328023,0.034273379846388896
2,2019,t100,21740,0.10207234400369389,0.0686285019713811
2,2019,t150,21740,0.10207234400369389,0.0686285019713811
2,2019,t100,30060,0.014005102289321591,0.0013638541936499928
2,2019,t150,30060,0.014005102289321591,0.0013638541936499928
2,2019,t100,30420,0.002326364338592946,-0.00725850004603364
2,2019,t150,30420,0.002326364338592946,-0.00725850004603364
2,2021,t100,10110,-0.006041633923022938,-0.015678201449042556
2,2021,t150,10110,-0.006041633923022938,-0.015678201449042556
2,2021,t100,10130,0.008474509278264845,-1.0060484106538216e-4
2,2021,t150,10130,0.008474509278264845,-1.0060484106538216e-4
2,2021,t100,10200,0.019920258688657287,0.01621765171857251
2,2021,t150,10200,0.019920258688657287,0.01621765171857251
2,2021,t100,10261,0.11979246917870334,0.07309140096769785
2,2021,t150,10261,0.11979246917870334,0.07309140096769785
2,2021,t100,21720,-0.05078045777726415,-0.034717144631340055
2,2021,t150,21720,-0.05078045777726415,-0.034717144631340055
