subsamp,region,num_sp,mn_ss,mn_p
50,ai,6,1.1995614035087718,0.0047079605191138576
50,bs,7,1.0849673202614378,0.003160856058001056
50,goa,7,1.2377358490566037,0.0047071394365284505
100,ai,6,1.1882086167800454,0.004639328795231422
100,bs,7,1.0993788819875776,0.0030890562586665415
100,goa,7,1.244122965641953,0.004678022571644663
150,ai,6,1.1932059447983014,0.0046124927150152034
150,bs,7,1.1057692307692308,0.003095089980983607
150,goa,7,1.2611218568665377,0.004836256192836028
200,ai,6,1.1575492341356675,0.004453282735946157
200,bs,7,1.069078947368421,0.0029883741096287998
200,goa,7,1.212,0.004632660264198154
250,ai,6,1.1640449438202247,0.004493118037852807
250,bs,7,1.0914826498422714,0.0029839203838526182
250,goa,7,1.233009708737864,0.0047906217627550944
