sim,year,species_code,sub_samp,relb_sexr
1,2017,10110,t100,-0.0010008225636279177
1,2017,10110,t150,-0.0010008225636279177
1,2017,10130,t100,-0.12566193227860684
1,2017,10130,t150,-0.12566193227860684
1,2017,10200,t100,-0.11105741213974193
1,2017,10200,t150,-0.11105741213974193
1,2017,10261,t100,0.058858841717542375
1,2017,10261,t150,0.058858841717542375
1,2017,21720,t100,0.003291815829791541
1,2017,21720,t150,0.003291815829791541
1,2017,21740,t100,0.022746675811978347
1,2017,21740,t150,0.022746675811978347
1,2017,30060,t100,-0.11584180855067863
1,2017,30060,t150,-0.11584180855067863
1,2017,30420,t100,0.15575706435481892
1,2017,30420,t150,0.15575706435481892
1,2019,10110,t100,-0.06167872233212513
1,2019,10110,t150,-0.06167872233212513
1,2019,10130,t100,0.06505932685941192
1,2019,10130,t150,0.06505932685941192
1,2019,10200,t100,-0.025984992200325567
1,2019,10200,t150,-0.025984992200325567
1,2019,10261,t100,-0.2292122297462052
1,2019,10261,t150,-0.2292122297462052
1,2019,21720,t100,-0.052976956526321985
1,2019,21720,t150,-0.052976956526321985
1,2019,21740,t100,0.033091821321480586
1,2019,21740,t150,0.033091821321480586
1,2019,30060,t100,0.005031774787027668
1,2019,30060,t150,0.005031774787027668
1,2019,30420,t100,-0.08286308237371508
1,2019,30420,t150,-0.08286308237371508
1,2021,10110,t100,0.06336642122409844
1,2021,10110,t150,0.06336642122409844
1,2021,10130,t100,0.012606513261589767
1,2021,10130,t150,0.012606513261589767
1,2021,10200,t100,0.04521740200950912
1,2021,10200,t150,0.04521740200950912
1,2021,10261,t100,0.32018569234195765
1,2021,10261,t150,0.32018569234195765
1,2021,21720,t100,0.03659221420862937
1,2021,21720,t150,0.03659221420862937
1,2021,21740,t100,-0.07497793386819078
1,2021,21740,t150,-0.07497793386819078
1,2021,30060,t100,-0.20851912468978478
1,2021,30060,t150,-0.20851912468978478
1,2021,30420,t100,0.014336417453759687
1,2021,30420,t150,0.014336417453759687
2,2017,10110,t100,-0.006260096511597595
2,2017,10110,t150,-0.006260096511597595
2,2017,10130,t100,0.11272416231338171
2,2017,10130,t150,0.11272416231338171
2,2017,10200,t100,0.08529783951759613
2,2017,10200,t150,0.08529783951759613
2,2017,10261,t100,0.11068034655906193
2,2017,10261,t150,0.11068034655906193
2,2017,21720,t100,-0.06895444401583738
2,2017,21720,t150,-0.06895444401583738
2,2017,21740,t100,0.07405530506095132
2,2017,21740,t150,0.07405530506095132
2,2017,30060,t100,-0.04989063836288472
2,2017,30060,t150,-0.04989063836288472
2,2017,30420,t100,0.053994305762199386
2,2017,30420,t150,0.053994305762199386
2,2019,10110,t100,0.0019897691446003904
2,2019,10110,t150,0.0019897691446003904
2,2019,10130,t100,-0.16903083056792037
2,2019,10130,t150,-0.16903083056792037
2,2019,10200,t100,0.1479365890225564
2,2019,10200,t150,0.1479365890225564
2,2019,10261,t100,-0.004811450676878959
2,2019,10261,t150,-0.004811450676878959
2,2019,21720,t100,0.03279114324249564
2,2019,21720,t150,0.03279114324249564
2,2019,21740,t100,0.1471700153981341
2,2019,21740,t150,0.1471700153981341
2,2019,30060,t100,0.026904013453767802
2,2019,30060,t150,0.026904013453767802
2,2019,30420,t100,-0.32942549010503935
2,2019,30420,t150,-0.32942549010503935
2,2021,10110,t100,0.05922210608269866
2,2021,10110,t150,0.05922210608269866
2,2021,10130,t100,-0.11089572061099366
2,2021,10130,t150,-0.11089572061099366
2,2021,10200,t100,0.021184924530334947
2,2021,10200,t150,0.021184924530334947
2,2021,10261,t100,-0.20106407474644436
2,2021,10261,t150,-0.20106407474644436
2,2021,21720,t100,-0.08010312968486252
2,2021,21720,t150,-0.08010312968486252
2,2021,21740,t100,0.1165407121167962
2,2021,21740,t150,0.1165407121167962
2,2021,30060,t100,0.043817175818764334
2,2021,30060,t150,0.043817175818764334
2,2021,30420,t100,-0.06369891656289782
2,2021,30420,t150,-0.06369891656289782
3,2017,10110,t100,0.04277499741002204
3,2017,10110,t150,0.04277499741002204
3,2017,10130,t100,-0.06605031510438238
3,2017,10130,t150,-0.06605031510438238
3,2017,10200,t100,-0.07987527878943115
3,2017,10200,t150,-0.07987527878943115
3,2017,10261,t100,0.013295116755376212
3,2017,10261,t150,0.013295116755376212
3,2017,21720,t100,-0.037370266839502876
3,2017,21720,t150,-0.037370266839502876
3,2017,21740,t100,0.028112699203635846
3,2017,21740,t150,0.028112699203635846
3,2017,30060,t100,0.16939763212948913
3,2017,30060,t150,0.16939763212948913
3,2017,30420,t100,0.10721307356455861
3,2017,30420,t150,0.10721307356455861
3,2019,10110,t100,-0.02233144559322067
3,2019,10110,t150,-0.02233144559322067
3,2019,10130,t100,0.043548503054150006
3,2019,10130,t150,0.043548503054150006
3,2019,10200,t100,-0.007808098834601112
3,2019,10200,t150,-0.007808098834601112
3,2019,10261,t100,-0.13799849174807574
3,2019,10261,t150,-0.13799849174807574
3,2019,21720,t100,-0.07878774018831221
3,2019,21720,t150,-0.07878774018831221
3,2019,21740,t100,0.07824480551225678
3,2019,21740,t150,0.07824480551225678
3,2019,30060,t100,-0.17141614102000105
3,2019,30060,t150,-0.17141614102000105
3,2019,30420,t100,-0.04472681134867628
3,2019,30420,t150,-0.04472681134867628
3,2021,10110,t100,-0.06319798529268382
3,2021,10110,t150,-0.06319798529268382
3,2021,10130,t100,-0.03623052318924731
3,2021,10130,t150,-0.03623052318924731
3,2021,10200,t100,-0.0577014421536332
3,2021,10200,t150,-0.0577014421536332
3,2021,10261,t100,-0.18077199059468618
