year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2017,10110,female,337.70949298509635,99.06614593654405,a25,goa
2017,10110,male,150.4477235216345,45.545642569260586,a25,goa
2017,10110,total,465.5877591879197,135.77967822846162,a25,goa
2017,10130,female,81.77050077775539,19.669392158415533,a25,goa
2017,10130,male,89.78643531522177,18.91195147101229,a25,goa
2017,10130,total,169.74836336329315,39.197948306729614,a25,goa
2017,10180,female,73.2024104503669,27.247349554705306,a25,goa
2017,10180,male,85.83670222591127,28.6716345558165,a25,goa
2017,10180,total,153.6574485218158,55.84305451650671,a25,goa
2017,10200,female,156.8335740138224,47.02646107777609,a25,goa
2017,10200,male,106.10820557563248,35.11791347200066,a25,goa
2017,10200,total,238.10371110750103,76.31627441945287,a25,goa
2017,10261,female,132.44030557837505,47.536860240152414,a25,goa
2017,10261,male,68.06807828760351,24.49438215451323,a25,goa
2017,10261,total,167.6185290677782,67.05091141658491,a25,goa
2017,10262,female,153.1997800805798,56.26868441790325,a25,goa
2017,10262,male,97.27997824537503,36.78842263173064,a25,goa
2017,10262,total,220.92645430430463,89.43578104088132,a25,goa
2017,21720,female,62.73056262996749,22.20408159077234,a25,goa
2017,21720,male,56.03164875182912,19.137137619204985,a25,goa
2017,21720,total,95.00090365669897,35.858259625180985,a25,goa
2017,21740,female,10.859820688003463,9.878907533301383,a25,goa
2017,21740,male,13.82634669052665,12.823234149263111,a25,goa
2017,21740,total,13.468138178489085,13.018328854172315,a25,goa
2017,30060,female,170.8478552326777,68.03631077584048,a25,goa
2017,30060,male,152.88365676314703,61.85845457495146,a25,goa
2017,30060,total,274.95520781569945,122.16534519052308,a25,goa
2017,30420,female,94.1548810928592,35.003254998129684,a25,goa
2017,30420,male,76.40300294983459,26.345953189875225,a25,goa
2017,30420,total,158.71299640558033,63.018141403167945,a25,goa
2019,10110,female,366.54094853137457,97.4484908117742,a25,goa
2019,10110,male,218.39262109149223,58.03378719212575,a25,goa
2019,10110,total,543.6971384000841,145.85038872827178,a25,goa
2019,10130,female,69.94434992534087,17.335249137870456,a25,goa
2019,10130,male,75.53593091963887,18.527499660588273,a25,goa
2019,10130,total,134.21805405649826,34.41337887608509,a25,goa
2019,10180,female,67.89786290357297,25.048798674830376,a25,goa
2019,10180,male,75.95187082081927,26.028538652866345,a25,goa
2019,10180,total,140.73895773797918,51.074537216198145,a25,goa
2019,10200,female,210.36495718235577,62.692651663062406,a25,goa
2019,10200,male,141.30173865702463,48.56234777283312,a25,goa
2019,10200,total,312.7382763347393,113.19749745856626,a25,goa
2019,10262,female,229.19177604939455,76.85970824869483,a25,goa
2019,10262,male,103.2119362780122,32.46316214244808,a25,goa
2019,10262,total,308.47310148594727,101.59248892233744,a25,goa
2019,21720,female,46.69180509110283,23.06138207543796,a25,goa
2019,21720,male,50.58753975804328,25.65207054732656,a25,goa
2019,21720,total,60.827351022101375,35.34643345422235,a25,goa
2019,21740,female,98.92066921081592,57.71834651718671,a25,goa
2019,21740,male,86.48388893973656,47.742460990676534,a25,goa
2019,21740,total,79.07722504165815,55.994861217139025,a25,goa
2019,30060,female,213.51932030447077,87.83887349576602,a25,goa
2019,30060,male,216.42724073709937,101.83585804417508,a25,goa
2019,30060,total,317.70128445951764,166.1896581367873,a25,goa
2019,30420,female,84.90553231586065,31.636097323276353,a25,goa
2019,30420,male,63.4103865741101,21.178191470643203,a25,goa
2019,30420,total,146.61827704230475,56.14432263303547,a25,goa
2021,10130,female,89.03670186196679,17.45589823982249,a25,goa
2021,10130,male,84.55830292654694,18.67435808806285,a25,goa
2021,10130,total,165.79424465516382,35.18036533022116,a25,goa
2021,10262,female,251.28366182884133,88.49200458978873,a25,goa
2021,10262,male,108.43833046488128,38.26724508381491,a25,goa
2021,10262,total,346.4781583796578,122.66436919961238,a25,goa
2021,21720,female,105.857658053955,35.91983208808233,a25,goa
2021,21720,male,102.47823587941464,32.16499234246538,a25,goa
2021,21720,total,158.74727327256258,53.30678429627427,a25,goa
2021,21740,female,88.36533525606556,64.54841605137274,a25,goa
2021,21740,male,80.73391440086064,60.59956079883412,a25,goa
2021,21740,total,91.43648602993667,74.61745326641345,a25,goa
2021,30060,female,181.8713228028015,68.41859788464197,a25,goa
2021,30060,male,236.15766728985176,91.35149267906712,a25,goa
2021,30060,total,351.3148121164164,150.3433894500646,a25,goa
2021,30420,female,97.77374508153213,37.55319918236042,a25,goa
2021,30420,male,106.4134322975954,39.65603538219751,a25,goa
2021,30420,total,194.1306447012526,77.75897519629906,a25,goa
1990,10180,female,41.66612657498264,17.304029863811863,a25,goa
1990,10180,male,23.163713780557952,8.523721572876111,a25,goa
1990,10180,total,63.8370549085977,30.60233547714791,a25,goa
1990,21720,female,78.62413125731143,30.819833661126054,a25,goa
1990,21720,male,63.56763665156722,25.23233377979161,a25,goa
1990,21720,total,103.27204491364596,47.3508035883528,a25,goa
1990,21740,female,98.56803136225425,49.09740030720124,a25,goa
1990,21740,male,75.74604735584788,39.843346210570935,a25,goa
1990,21740,total,102.74255489125682,60.30931022292741,a25,goa
1990,30060,female,102.37457510226425,68.8419028312589,a25,goa
1990,30060,male,154.931758326546,94.53896076811144,a25,goa
1990,30060,total,154.63531358579607,113.0587286726511,a25,goa
1990,30420,female,36.858055922647765,16.193575677410557,a25,goa
1990,30420,male,29.805088480940466,12.239509446417856,a25,goa
1990,30420,total,54.80878225226662,28.148552468149585,a25,goa
1993,10180,female,58.141157623468736,22.07852693980011,a25,goa
1993,10180,male,35.69020018206391,11.808309746899916,a25,goa
