year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region
2017,10110,female,342.84953058931404,2774.5065540677083,1864.4110952852648,t50,goa
2017,10110,male,147.11467510018664,1427.5198972168305,964.3632260641176,t50,goa
2017,10110,total,462.8660741960095,3817.91477723467,2657.9541030390556,t50,goa
2017,10130,female,81.51675412613174,1310.2080497609425,813.1713791293876,t50,goa
2017,10130,male,92.6694367337298,1124.3663525665695,702.3457764022739,t50,goa
2017,10130,total,169.57238087210862,2048.4273809341084,1358.5088263382306,t50,goa
2017,10180,female,70.89709992324659,386.8227614238105,328.8603524739402,t50,goa
2017,10180,male,88.67633207815577,344.06202879639466,291.00035817771567,t50,goa
2017,10180,total,155.05961302101653,681.6600947238676,583.4676339322834,t50,goa
2017,10200,female,157.59121230614952,1038.115113338532,850.7970234397674,t50,goa
2017,10200,male,112.00137687315996,474.4297423593666,397.50180502376185,t50,goa
2017,10200,total,243.5654920228679,1175.4403140769302,997.4249501413358,t50,goa
2017,10261,female,128.9326317786703,709.370283655377,526.0043185893105,t50,goa
2017,10261,male,68.18208796756193,415.7255117243799,308.4086645027186,t50,goa
2017,10261,total,164.38131726437058,951.9862799623404,739.1299360466772,t50,goa
2017,10262,female,150.91941655051295,820.1406691421003,666.188922260514,t50,goa
2017,10262,male,98.81480811438053,414.55684537557227,328.0493438235296,t50,goa
2017,10262,total,216.64647074926725,1066.565088621943,879.3897474833329,t50,goa
2017,21720,female,62.40345046973359,478.4636031906306,450.4264619492218,t50,goa
2017,21720,male,55.08519085850951,389.59898320542976,367.5044384115243,t50,goa
2017,21720,total,95.01278763260838,719.8489497897258,684.9285670073909,t50,goa
2017,21740,female,11.552247765856803,73.7295425207364,63.30056321244323,t50,goa
2017,21740,male,14.396201306926766,73.63222519911444,61.92155057771672,t50,goa
2017,21740,total,14.181943094226677,93.86413672842605,85.73215082381506,t50,goa
2017,30060,female,170.53406650791987,326.6802707457163,239.0229381898072,t50,goa
2017,30060,male,152.2071784778505,258.8774590291465,195.75233080999345,t50,goa
2017,30060,total,282.137390289331,422.6798328051945,339.09237679113824,t50,goa
2017,30420,female,93.62856525514744,90.19907944649584,66.23296136882212,t50,goa
2017,30420,male,77.28307232451276,171.47633378759596,92.62056208688416,t50,goa
2017,30420,total,159.5960734407173,187.8744834820911,129.9247958022444,t50,goa
